tumor_id,structure,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
292163427,CT,0.9106050525057263,0.043880631048997476,0.0,0.0,0.0,0.009515725128698468,0.010444334500139601,0.025554256816438234
292163427,IT,0.8293026984293589,0.03913207568710755,0.0,0.0,0.0,0.01668929129377124,0.016025775049121706,0.09885015954064064
292163427,LE,0.6386186761279028,0.01594507251755463,0.0,0.0,0.0012696229364705998,0.020887016754478932,0.04854431990682248,0.27473529175677064
292163427,MVP,0.23501747662962544,0.13857592775008346,0.00927370252618601,0.0011091822049935638,0.0011768346500493564,0.6106746355935452,0.0,0.004172240645517032
703393,CT,0.7139704154885912,0.11066917279980941,0.0,0.0,2.6793954739914297e-05,0.038268926898208995,0.04552136132554389,0.09154332953310662
703393,IT,0.7083330981154076,0.0,0.0,2.8996271604120266e-05,7.488771192853333e-05,0.023001322111011874,0.09502358374273756,0.1735381120473104
703393,LE,0.3169851669162766,0.0,0.0,0.0064646683931820345,0.0037965601522388323,0.02728933551342193,0.21144827272315633,0.43401599630172427
703393,MVP,0.2667164500802658,0.13292726907211996,0.001896627388323506,0.00017492912099351836,0.0026944449722317125,0.5808854730525059,0.0019130039126463371,0.012791802400913233
703393,PAN,0.9251097002185672,0.05099294934015396,0.0,0.0,0.0007138502252468998,0.00018825288204753337,0.0010564785201155333,0.021938768813868834
703493,CT,0.7801040604252316,0.13959669957975218,0.0,0.0,6.496131040895734e-06,0.04482427965942554,0.007845536830089468,0.027622927374460333
703493,IT,0.6537309229068641,0.019289393533386368,0.0,9.498144875927298e-06,0.000573663069576967,0.05426015103634941,0.0674386965810276,0.2046976747279197
703493,LE,0.3888463966309072,0.01785503749997221,0.0,0.0004260783289565002,0.0053236561755477035,0.031131788221537816,0.14010993526914184,0.41630710787393677
703493,MVP,0.13203723918097401,0.11452209311671531,0.008827941363669142,0.0005088249272135352,0.0,0.743200947001704,0.0,0.0009029544097239271
703493,PAN,0.8438043663220274,0.13699168917255203,0.0,0.0,0.0004639498742248733,0.0030786724338264008,0.0,0.01566132219736927
705757,CT,0.8316078617336767,0.10958211858960559,0.0,0.0,0.0,0.029296472241254142,0.0,0.029513547435463503
705757,IT,0.6713267314891831,0.21798666296887356,0.0,0.0,0.0,0.026060133503883268,0.03240023092533908,0.05222624111272104
705757,LE,0.3238780516095397,0.01724283632404437,0.0,0.0025173582927093046,0.004578483389456499,0.035203702877210634,0.13954841428495188,0.4770311532220876
705757,MVP,0.29805575923137617,0.2007117517998431,0.0,0.001551409762963401,0.0,0.4996810792058172,0.0,0.0
705757,PAN,0.7655209699230577,0.231453335536796,0.0,0.0,0.0,0.0013735284832200663,0.0,0.0016521660569262006
705758,CT,0.8704107431245928,0.048699170261698434,0.0,0.0,0.0005228343147755002,0.040467172859801,0.0001599345510463334,0.039740144888085985
705758,IT,0.6533721090639996,0.06410862669331613,0.0,0.0,0.002137454324893866,0.032102298861802936,0.043206368881551195,0.2050731421744363
705758,LE,0.2561926847901791,0.00037969135879930015,0.0,0.005544196587210101,0.013648525517587506,0.03313346158186331,0.22943065883001654,0.46167078133434414
705758,MVP,0.2750496459424407,0.11651577958633269,0.0,0.0017885659553600003,0.002288172920988133,0.6021761574470178,0.0,0.0021816781478607
705758,PAN,0.8185951992280556,0.15831868223108866,0.0,0.0005719370386100853,0.004941640634656667,0.003856076287710468,0.0,0.01371646457987851
705803,CT,0.8583236078866663,0.09200305495972788,0.0,0.0,0.0,0.026077175420855636,0.019148005982324464,0.004448155750425799
705803,IT,0.808409716942875,0.03826021523671626,0.0,0.0,8.01540835667e-05,0.03826944916621385,0.07647422865749015,0.03850623591313799
705803,LE,0.5669642233239933,0.012418493087951107,0.0,0.0,0.0,0.025547342517956418,0.22451420850911813,0.17055573256098108
705803,MVP,0.38686848435186577,0.08136903511302833,0.00239138280829917,0.00029290064703674956,0.00162407790815076,0.5274541191716192,0.0,0.0
705803,PAN,0.9662593740913462,0.012789145859363867,0.0,0.0027362049477348996,0.016788481431221896,0.0014267936703331475,0.0,0.0
705859,CT,0.6884127425667637,0.12937628067164866,0.0,0.0,0.0,0.06535127916728335,0.022857986209709132,0.09400171138459516
705859,IT,0.5637470194172347,0.36716934832907566,0.0,0.0,0.0,0.029734875949084458,0.017947873301375608,0.021400883003229655
705859,LE,0.3582487511726749,0.19423096706818122,0.0,0.0,1.3296046275482586e-05,0.05672034940475351,0.13968035261780348,0.2511062836903114
705859,MVP,0.26753499117994345,0.2963275857546188,0.034188422354917,0.0001908593552642346,0.002459561746767441,0.38333340202042554,0.010139052653101227,0.00582612493496237
705859,PAN,0.5920789902131551,0.4004329953959753,0.0,0.0,0.0001074499225136999,0.0033124101590499646,0.0,0.004068154309306
710262,CT,0.7010412157686058,0.10913848990790281,0.0,0.0,0.0,0.03398836693117047,0.12411613434777824,0.03171579304454271
710262,PAN,0.7675288532808789,0.195359593860164,0.0,0.0,0.002753435643770166,0.006010777188039368,0.012981900067597833,0.015365439959549568
711547,CT,0.9334970945851143,0.020100432128965527,0.0,0.004470236536546167,0.002684638091180866,0.014796268901536062,0.022953912917958768,0.0014974168386982665
711547,IT,0.6385685818786381,0.04920169634640827,0.0,0.0,0.0022338750602506666,0.02758698481954541,0.029839766407710272,0.2525690954874474
711547,LE,0.2908537958040733,0.0539474923382168,0.0,0.0004901119180156333,0.0022001974239799324,0.038379636515358695,0.07665409243790562,0.5374746735624499
711547,MVP,0.29018761940414994,0.10110955153700786,0.0,0.0,0.00022794283192256685,0.6024702065154403,0.000950494220338933,0.0050541854911402674
711560,CT,0.8476953935585575,0.06554730762692158,0.0,0.0001217288459256259,0.0006036336416882998,0.027387949569787004,0.050275206503641034,0.008368780253478935
711560,MVP,0.3012461446731792,0.10660495933906015,0.0,0.0,0.0,0.5871475926783251,0.004402529719167697,0.0005987735902678663
711560,PAN,0.9353990436245416,0.056099494797413864,0.0,0.0,0.0007510274460192333,0.0,0.007375976238592267,0.00037445789343303325
