sample,absolute_purity,nnls,svr,cibersortx,elastic_net,bayesian,music,dwls,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-02-0047-01A,0.69,0.9778686473295326,0.7662137736438213,0.8125189807518852,0.927276331490224,0.11850334435738448,0.9778686473295326,0.8215168063573489,0.7756707901872191,0.7103857002868922,0.7103857002868922,0.9068676128853005,0.9995334848678261
TCGA-02-0055-01A,0.65,0.7151892550118127,0.4575652675008622,0.3763017086207366,0.6863992077119254,0.08488597504409676,0.7151892550118127,0.6950254521910368,0.0,0.5759650016888269,0.5759650016888269,0.6217486434359186,0.8245728071837676
TCGA-02-2483-01A,0.72,0.6615077479885281,0.6952893252142364,0.5083626760993405,0.6403372470662557,0.20505719442368744,0.6615077479885282,0.8335111777522228,0.004407881518649573,0.4870734117058419,0.4870734117058419,0.37359940694365784,0.7185942640022374
TCGA-02-2485-01A,0.93,0.9897077621197423,0.9083031501568847,0.902699269001286,0.9821503495607644,0.3620183508237978,0.9897077621197423,0.8225922289150924,0.19935671035868202,0.4011879288867749,0.4011879288867749,0.924751812323306,0.9997033193579858
TCGA-02-2486-01A,0.71,0.8697023203756077,0.4794542610357732,0.4642701541068771,0.7866924598640334,0.017763615085463223,0.8697023203756078,0.6857727015045655,0.0,0.39239729344145513,0.39239729344145513,0.7930174838061905,0.9590186204834619
TCGA-06-0125-01A,0.9,0.9645473957130701,0.8768299906479645,0.8829075706717182,0.947168500718049,0.2868732823723587,0.9645473957130701,0.9031457233965667,0.3910344134337147,0.5655458583779999,0.5655458583779999,0.9319776022166516,0.9731408422812173
TCGA-06-0125-02A,0.59,0.9536645429300415,0.8043847114694562,0.8175376386383553,0.9329135137708082,0.21963123180093985,0.9536645429300415,0.8555512956146926,0.8826940827184578,0.7020868866872207,0.7020868866872207,0.663011027468895,0.9580966008047072
TCGA-06-0129-01A,0.86,0.8787941219084564,0.7753632101296787,0.6998677417674992,0.5058292858657985,0.3265071111316016,0.8787941219084563,0.8010478214903546,0.0,0.6318184004432486,0.6318184004432486,0.6225579456444194,0.9473712604298329
TCGA-06-0130-01A,0.4,0.5858558735267507,0.22841363083922475,0.15910111055989928,0.5719737716579246,0.057719774495094696,0.5858558735267512,0.5985288074455872,0.0,0.3784665079133723,0.3784665079133723,0.4017619222188079,0.9085301142313966
TCGA-06-0132-01A,0.27,0.8392241089413992,0.4131797543271981,0.3521007005542822,0.8097644324505351,0.03813370224330622,0.8392241089413992,0.6667663014640351,0.0,0.45547234530760516,0.45547234530760516,0.6938269913381486,0.9199426699858708
TCGA-06-0141-01A,0.21,0.8718739249603079,0.4949796175060027,0.3560452745801775,0.8369197567875257,0.024611815884044517,0.871873924960308,0.49995462819479464,0.0,0.3943416322732213,0.3943416322732213,0.7431889234548023,0.894543266726794
TCGA-06-0152-02A,0.76,0.9151698003598373,0.7719644141311006,0.7572497010406942,0.8954420885000034,0.18731834789993929,0.9151698003598374,0.6662487546260167,0.0,0.40540336392728477,0.40540336392728477,0.8784043264544192,0.948267039020566
TCGA-06-0157-01A,0.82,0.9815621780495938,0.8856983976788316,0.8507328713407061,0.9664907212245838,0.26896601282243104,0.9815621780495938,0.7938977927810446,0.8233627820832616,0.456725424130778,0.456725424130778,0.8316862796168077,0.998770810990098
TCGA-06-0158-01A,0.79,0.9628538339381271,0.6581764103953538,0.6673712221968164,0.9044887075192118,0.0760326312082496,0.9628538339381271,0.7789110508779921,0.04199095986681513,0.49104046874775387,0.49104046874775387,0.8691954057935493,0.9947762899675027
TCGA-06-0168-01A,0.68,0.8904036512493996,0.6013529149824982,0.5416561386952194,0.8623218506430766,0.0755342835568736,0.8904036512493996,0.6839579390033325,0.0,0.5138313236416815,0.5138313236416815,0.7570205243446861,0.944641791712363
TCGA-06-0171-02A,0.23,0.6775655084943136,0.12578937775731105,0.08505972489499432,0.6463856805255446,0.003050805013111385,0.6775655084943135,0.2793918558624792,0.0,0.32162009245792667,0.32162009245792667,0.5931253614055024,0.7613497215260157
TCGA-06-0174-01A,0.95,0.9855133645155059,0.9260380605786934,0.8596836644449509,0.9766886291776212,0.5410484387252765,0.9855133645155059,0.9311209537104468,0.2152261352262555,0.6435185625866034,0.6435185625866034,0.9567860654878464,0.9839698160105447
TCGA-06-0184-01A,0.58,0.8033163936503535,0.3440416448533382,0.28463379632035385,0.7627777589758212,0.023997810912763585,0.8033163936503537,0.5389187886108227,0.0,0.26862892318148424,0.26862892318148424,0.6841726240806504,0.8248163801582354
TCGA-06-0187-01A,0.84,0.9688582055147682,0.6443596280950866,0.6686735375792104,0.9184797792351207,0.21129381061814104,0.9688582055147682,0.8313714862183186,0.0,0.37239692466332597,0.37239692466332597,0.925722531348058,0.9876137901065963
TCGA-06-0190-01A,0.57,0.811753636238288,0.5718094837387209,0.5435275642660251,0.7251323821543539,0.11870500597812694,0.8117536362382878,0.7428493809844839,0.002018810799363062,0.5402701571182609,0.5402701571182609,0.8003668006255932,0.8809131925900193
TCGA-06-0190-02A,0.51,0.6389670267348568,0.4672110234093483,0.2704701654842411,0.4520760032599516,0.11010216877841343,0.6389670267348572,0.611800680624829,0.0,0.5098312177856272,0.5098312177856272,0.44625536541487604,0.8493589892199672
TCGA-06-0210-02A,0.7,0.9143632454508238,0.5464224873706803,0.5153885269543979,0.8409904568234126,0.05757589956775935,0.9143632454508237,0.6171848891899099,0.0,0.6011352224154288,0.6011352224154288,0.8740368688644569,0.9708537732522109
TCGA-06-0211-01B,0.87,0.9061599586638358,0.8094615665419169,0.7713589128283227,0.8850566006904449,0.28423445298889694,0.9061599586638358,0.8761893711167726,0.0,0.4869935879159367,0.4869935879159367,0.8136702588851825,0.9487327718164601
