sample,AC,MES,NPC,OPC,MES_minus_mean_other
TCGA-06-0211-01B,0.9733098015876178,0.9424820441008734,0.9220830759146679,0.9409235862057114,-0.0029567771351255434
TCGA-06-0211-02A,0.9691503419055489,0.9690458736001276,0.9341011220649265,0.9324157405348739,0.023823472098344456
TCGA-06-0130-01A,0.9110660314778061,0.9584651172318835,0.8554198548519312,0.8836901272399642,0.07507311270864969
TCGA-06-0132-01A,0.9696784112839015,0.9583268401641473,0.917367706838402,0.9627699852742629,0.008388139031958453
TCGA-16-1045-01B,0.9672767473228985,0.96295509799747,0.9020714289720801,0.9450915820554379,0.024808511880664574
TCGA-06-0125-01A,0.9728107372778456,0.9547051150077442,0.9127983752775516,0.945478074476499,0.01100938599711232
TCGA-06-0125-02A,0.9682602627017843,0.9749413968617691,0.9108116440578958,0.9439070427547619,0.03394841369028834
TCGA-06-0139-01A,0.9603478571232466,0.9687563331262834,0.8776765531460364,0.926578075944418,0.04722217105504978
TCGA-26-5132-01A,0.967766290884969,0.9679368220125385,0.8990796631641702,0.9117277446421835,0.041745589115430914
TCGA-15-1444-01A,0.9587605492098665,0.9343839646888654,0.9315833271232331,0.9721712925817443,-0.019787758282749257
TCGA-32-2616-01A,0.9658169731461776,0.9623291016160858,0.9014358953401814,0.9323274863599862,0.029135650000637447
TCGA-06-0750-01A,0.967839357088263,0.9666193488393872,0.9065449046328953,0.945677675703679,0.026598703031108117
TCGA-41-2572-01A,0.9742640904851861,0.9614497801833599,0.8859957835423535,0.9336337555570595,0.030151903655160184
TCGA-06-0138-01A,0.9727941313225517,0.9670032688991462,0.9346561247212467,0.9603941041198768,0.011055148844587803
TCGA-06-0211-01A,0.9701965170890778,0.9629200714651004,0.8969414856322321,0.9197944984531353,0.033942571073618644
TCGA-06-0178-01A,0.9634456427301785,0.9435829563637084,0.9392641191634074,0.9705222105146702,-0.014161034439043596
TCGA-28-2499-01A,0.9725866675877435,0.9625652334870476,0.8744983841720174,0.9140402546446221,0.042190131352253246
TCGA-06-1804-01A,0.9652455068713228,0.9268154901044106,0.9051581492138813,0.9387537508024326,-0.0095703121914682
TCGA-26-1442-01A,0.9611075242247678,0.926185012521757,0.9338650380979626,0.9585833719109699,-0.025000298889476413
TCGA-28-1747-01C,0.9727228364211553,0.9399222721921892,0.9273852994510272,0.9682254537929428,-0.016188924362852686
TCGA-14-1034-01A,0.9714751756467245,0.9626351036456129,0.8715616077989241,0.9160722488416865,0.042932092883167905
TCGA-06-0171-02A,0.9521504933518612,0.9674351103765599,0.8725022376392966,0.923284924217769,0.05145589197358447
TCGA-06-0129-01A,0.9393056762254973,0.9071470404683568,0.9401992400440075,0.9641027486252578,-0.040722181163230786
TCGA-06-0156-01A,0.9610548279933008,0.9690236504999554,0.9433999456716403,0.9589746977249756,0.014547160036649909
TCGA-02-0055-01A,0.9384051906230821,0.9801550459057917,0.875740504356285,0.8889221855958446,0.07913241904738777
TCGA-14-1823-01A,0.9681816611800591,0.9669205953083836,0.8831432441723217,0.9152901342573351,0.044715582105145035
TCGA-06-0210-01A,0.9703508417669447,0.9802550955831085,0.8922393380594196,0.9304625127413609,0.049237531393866774
TCGA-14-1034-02B,0.9610247158610342,0.9678804869108685,0.8975997562435547,0.9089605376737917,0.045352150318074935
TCGA-27-2519-01A,0.9692995740904586,0.955708812638963,0.9362248761385518,0.9527841954495219,0.0029392640794523306
TCGA-12-0619-01A,0.9591305298938193,0.9682985189721258,0.9146795347953911,0.9173573943214437,0.037909365968574416
TCGA-76-4925-01A,0.9708766970179248,0.9639319084210736,0.8917389241862965,0.9308044305385939,0.03279189117346848
TCGA-32-2634-01A,0.9603671200313874,0.9484221964690329,0.9460582691689765,0.9627211143011506,-0.007959971364805196
TCGA-12-3652-01A,0.9750199935701742,0.9707505591441747,0.8988764326300297,0.9432538186489485,0.031700477527790594
TCGA-28-5209-01A,0.9724040020795084,0.9556258646889387,0.9091861002734847,0.9329914513390111,0.017432013458270612
TCGA-32-4213-01A,0.972948456000418,0.9680570828221109,0.9225838904394107,0.9493784435687053,0.019753486152599642
TCGA-28-5204-01A,0.9736120299739707,0.9431267883651187,0.9059860957861865,0.9509546667124945,-0.000390809125765168
TCGA-19-1389-02A,0.948292597817933,0.979313403144962,0.8604789830179806,0.8852991100470484,0.08128983951730784
TCGA-02-0047-01A,0.970382503788372,0.95701750631575,0.9386365985639045,0.9683047572401541,-0.0020904468817268818
TCGA-06-0747-01A,0.9717798395731873,0.9565754220925784,0.9095095262935641,0.9255344210973664,0.02096749310453927
TCGA-19-1787-01B,0.961122801703638,0.9528158771338747,0.880469094936004,0.9279811920149486,0.029624847582344516
TCGA-06-5859-01A,0.9633189946444687,0.9401545630334915,0.9243132029933485,0.9382432012957789,-0.0018039032777071862
TCGA-06-0141-01A,0.970739642533564,0.963034845089445,0.8980416749801876,0.9530596988473969,0.02242117296906221
TCGA-27-1830-01A,0.9649271153551505,0.9650169078467481,0.928338649980328,0.9676280822278291,0.011385625325645576
TCGA-28-2510-01A,0.967767176535918,0.9428357846418807,0.9350186142742555,0.9707939546069217,-0.015024130497151122
TCGA-06-5415-01A,0.9750715827379548,0.9469748599121612,0.9266427918366431,0.9732878063520808,-0.011359200396731661
TCGA-27-1834-01A,0.9676989814128434,0.9452458478469382,0.9153180733144387,0.9634717223240816,-0.003583744503516284
TCGA-41-2571-01A,0.9565853904790752,0.9560907207308055,0.9594657751366824,0.966338640398787,-0.004705881274042811
TCGA-06-0190-01A,0.9689900390837767,0.9766130678413633,0.901676386474963,0.9325279826599345,0.0422149317684718
TCGA-06-5417-01A,0.9638452927209236,0.9359667432677724,0.9305907127351926,0.9595500505000056,-0.015361942050934885
TCGA-02-2486-01A,0.9578233090930671,0.9782580345195164,0.8574481536771404,0.9108532585482136,0.06954979408004258
TCGA-76-4931-01A,0.9729083802949748,0.9572704655547434,0.9369413413976491,0.9552010709366648,0.0022535346783139065
TCGA-06-5414-01A,0.9723528557372024,0.9622180775683135,0.8849336560982782,0.9378891105089061,0.030492870120184534
TCGA-19-5960-01A,0.9655353361443896,0.9173511015707251,0.9392847527218268,0.9438266652202291,-0.032197816458090056
TCGA-28-5220-01A,0.9699573913328429,0.9379253940347713,0.8995502284916189,0.9413113317286468,0.0009857435170683715
TCGA-06-0878-01A,0.9701836751503173,0.9687532237213212,0.8964927558180624,0.9282706585479985,0.03710419388252861
TCGA-26-5133-01A,0.9637782046615352,0.9338431111315966,0.9234139404327198,0.9589995807479155,-0.014887464149126894
TCGA-06-0678-11A,0.9512911905185751,0.9248294034112733,0.9271572285164592,0.9493302886538072,-0.017763499151673967
TCGA-19-4065-01A,0.969756127154678,0.9740832010921695,0.8963097581907213,0.9319735745876668,0.04140338111448083
TCGA-27-2524-01A,0.9695778899011881,0.9760440467332591,0.9025296742622201,0.9282468496123797,0.04259257547466311
TCGA-19-4065-02A,0.9572365653393416,0.9680384263923368,0.9042068019426794,0.9246019342880538,0.039356659202311794
TCGA-28-1753-01A,0.9694222367468976,0.9521538482361626,0.9397417960571072,0.9688126215285049,-0.007171703208007418
TCGA-27-2528-01A,0.9747901671489035,0.9604163602988249,0.9065324844326813,0.9467254478854624,0.017733660476475843
TCGA-41-5651-01A,0.954046450620974,0.9379153341951871,0.9684157313454603,0.978308806549355,-0.029008328643409298
TCGA-06-2565-01A,0.9694350786856585,0.9449977356215628,0.9001847604944684,0.9413956475833575,0.007992573367067934
TCGA-14-0736-02A,0.9663744904185851,0.9690934292054336,0.9042742115777097,0.9408985241682176,0.031911020483929464
TCGA-06-2558-01A,0.9659628841400287,0.9501409657884976,0.9553902466972285,0.9784765431860081,-0.01646892555259083
TCGA-06-2561-01A,0.9720178582657363,0.9565723126876157,0.9125306398326236,0.9499203206222258,0.01174937311408708
TCGA-76-4932-01A,0.9760854316618444,0.9678738108355082,0.9122905493494622,0.9407735720098572,0.024823959828453646
TCGA-26-5139-01A,0.9736135798631316,0.968075373439536,0.9109782149688248,0.944840424636842,0.02493130028326984
TCGA-28-5207-01A,0.9667254296071339,0.9401723963854813,0.9300698656294596,0.9537947326041714,-0.010024279561440252
TCGA-27-1832-01A,0.9602603990920308,0.9686711903021682,0.8703365153084978,0.9151909601946817,0.05340856543709804
TCGA-76-4928-01B,0.9714851392199009,0.9722085042591531,0.8974372920117277,0.9431906265115539,0.03483748501142547
TCGA-06-2562-01A,0.9724290217188183,0.9679230125963825,0.8983544837323423,0.9300196307359396,0.03432196720068248
TCGA-14-1825-01A,0.9680237938983964,0.9400797544082219,0.9433642876774787,0.9818917828381611,-0.0243468670631235
TCGA-06-0749-01A,0.9703074448704424,0.9464757089626221,0.9184244254856098,0.9609889694812408,-0.0034312376498087938
TCGA-06-0646-01A,0.965856606026146,0.9603527089501845,0.9280866401114773,0.9581216933774283,0.009664395778500756
TCGA-12-0616-01A,0.9664971530750243,0.956067583099762,0.9387300505542213,0.9632067807848641,-7.70783716078638e-05
TCGA-15-0742-01A,0.9729690473849827,0.9515653476205002,0.9179673821503295,0.9484420184392152,0.005105864962324458
TCGA-27-2526-01A,0.975372925473358,0.9554885936051613,0.8909881030508018,0.94594279625745,0.018053985344624546
TCGA-06-0744-01A,0.9685587270716041,0.9461407163044757,0.9248272390215445,0.9437112008332053,0.0004416606623578456
TCGA-06-2557-01A,0.9663532347958086,0.9310446466655108,0.9169585413716869,0.9463346591151166,-0.012170831762026602
TCGA-19-2619-01A,0.9740143369175629,0.9582157246632883,0.9215385903633669,0.9490605137216447,0.010011244329096836
TCGA-27-2523-01A,0.9736146869268176,0.9461613847021665,0.9264675067529831,0.9602365713127746,-0.007278203628692026
TCGA-06-0168-01A,0.9706572769953052,0.9642792472459817,0.9154258486001635,0.9471273355581261,0.01987576019478332
TCGA-06-0187-01A,0.972938935252716,0.9683289728501391,0.88322517742857,0.9357310900661601,0.03769723860099039
TCGA-06-0210-02A,0.9705543200724818,0.957940085058687,0.9242716353877948,0.9597577073820946,0.006412197444563339
TCGA-06-0219-01A,0.9724978810801044,0.9617308155201011,0.9134829887328751,0.9500991561611974,0.016370806862042064
TCGA-28-5208-01A,0.9727370068363399,0.9481642073102476,0.9106740202264965,0.9465492975647933,0.00484409910103778
TCGA-27-2521-01A,0.9618720624065087,0.9417734655818135,0.9312684149500748,0.97252806858692,-0.013449383066020837
TCGA-06-5418-01A,0.9735560125514452,0.9741575524520039,0.8969835540523106,0.9446746571602777,0.035752811197325984
TCGA-02-2485-01A,0.9720517344145361,0.9560305445994758,0.9492193102862496,0.9367949735577602,0.0033418718466271535
TCGA-32-2632-01A,0.9652680909705227,0.9526616872289787,0.882639725249145,0.9324280925390674,0.025883050976067024
TCGA-16-0846-01A,0.9721867961842613,0.9435958512489931,0.9419347626980522,0.9757809420390257,-0.01970498239145324
TCGA-19-1390-01A,0.951042544014638,0.9220194158562094,0.9233671643561088,0.9726191869946644,-0.02699021593226092
TCGA-06-2567-01A,0.9590939967921723,0.9499904340070866,0.8998703491358343,0.9313894500995143,0.019872501997913017
TCGA-14-0817-01A,0.969187760658145,0.9616766752925219,0.9193153745251278,0.9535709644122647,0.01431864209400946
TCGA-41-4097-01A,0.9719602909540498,0.967306252976798,0.9052985776066196,0.9439836609836707,0.026892076462017855
TCGA-06-0681-11A,0.9507022326374774,0.9075628776555232,0.9307219261406753,0.9550743286327692,-0.03793661814811744
TCGA-14-0789-01A,0.967766290884969,0.9781932857338304,0.8860844277132328,0.9226710833137313,0.052686018429852655
TCGA-14-0790-01B,0.975460604917311,0.9378696991047109,0.911362740360923,0.9396787190004972,-0.004297655654866284
TCGA-76-4926-01B,0.9732145941105982,0.9553313857483898,0.922753165748774,0.9441839782690651,0.00861413970557745
TCGA-14-0781-01B,0.9738456204117746,0.9737896366824919,0.8883323837889945,0.9366637558900263,0.04084238331889334
TCGA-76-4927-01A,0.9724431921340024,0.9579159414436856,0.9171200039744642,0.9618614864151225,0.007441047269155843
TCGA-02-2483-01A,0.9467026329517063,0.9452067973787351,0.9488273728391855,0.9512763558651792,-0.003728656506621797
TCGA-19-0957-02A,0.9652753975908523,0.9594235455849741,0.947544185863889,0.9755213709364144,-0.003356772545411113
TCGA-14-0787-01A,0.9744259431961193,0.9591206529604096,0.9040786935872501,0.9358787770728184,0.02099284834168036
TCGA-14-2554-01A,0.973497781001547,0.9657249376472852,0.9070516287690299,0.938876196757044,0.02591640213807822
TCGA-06-2563-01A,0.9738770610204646,0.9406244489951503,0.902202442051753,0.9282173122110482,0.005858843900728439
TCGA-06-0158-01A,0.9714085304128107,0.9579477671180058,0.9165775216812625,0.9577652754013598,0.009363991286194806
TCGA-14-1402-02A,0.974230878574598,0.9694545774464981,0.903651899449264,0.9405485507160759,0.02997746786651878
TCGA-28-5216-01A,0.9710485133020343,0.9732998139478394,0.9316727725973525,0.9773244055195199,0.013284583474870382
TCGA-76-4929-01A,0.9630278368949786,0.9537764089079698,0.9396575590540456,0.9578671346823155,0.00025889869752315775
TCGA-32-1982-01A,0.9730463204302847,0.9671730058288539,0.9089618355293048,0.9423016402387482,0.02573640709607461
TCGA-06-6698-01A,0.9439622075027039,0.9263410314883953,0.8722363051266578,0.8992418375629102,0.021194248090971368
TCGA-06-0686-01A,0.9669092021790555,0.9566215144484902,0.950041347247163,0.9807985409597828,-0.009294849013510298
TCGA-12-5295-01A,0.9734893673175314,0.9522436551677214,0.885351034923199,0.9413770300697907,0.018837844397547654
TCGA-28-5215-01A,0.9646831185186958,0.9525519435244264,0.9418405094044957,0.9805182041689624,-0.009795333839625053
TCGA-06-2559-01A,0.9666100735710242,0.9671869981511844,0.9415844930194469,0.9486383974044322,0.014909343486216642
TCGA-06-5858-01A,0.967747249389565,0.9631281272383143,0.9045727971973618,0.9488048809392107,0.022753151396268323
TCGA-32-1980-01A,0.9698105946880429,0.9591844872152242,0.9171841082336311,0.9559137278742489,0.01154834361658319
TCGA-28-5218-01A,0.8979823100079445,0.9484548452211371,0.8541578022495787,0.8751611578518109,0.07268775518469239
TCGA-06-0743-01A,0.9727562697444807,0.9515256569806875,0.9032025686576649,0.9437047563092783,0.011637792076879538
TCGA-19-2629-01A,0.9529679491778059,0.9407882414741945,0.9257756815685028,0.9726813050447375,-0.009686737122820865
TCGA-06-5412-01A,0.9723152155718694,0.9690341676049752,0.8845647561193524,0.9312892019495402,0.03964444305805448
TCGA-06-0157-01A,0.9721059805351634,0.9445132171659638,0.9371486786108928,0.9467161391286789,-0.007477048925614627
TCGA-32-5222-01A,0.9734304715294219,0.9637194628996774,0.9003589437861741,0.9451673052115791,0.02406722272395223
TCGA-12-0821-01A,0.9685071379038238,0.9601948609218034,0.9330021346718302,0.9335143528498581,0.015186985779966133
TCGA-06-0238-01A,0.9642358647894408,0.9481688714176911,0.9616933981427396,0.9798119917553058,-0.02041154681147095
