sample,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-02-0047-01A,nnls,0.41636243757737645,0.019762765878068092,0.0,0.0,0.0,0.4344744219564182,0.003330895204616237,0.12606947938352103
TCGA-02-0055-01A,nnls,0.049034918514596855,0.09728401806190407,0.0,0.0,0.1996158265113033,0.6243907551763779,0.0001180223757621799,0.029556459360055763
TCGA-02-2483-01A,nnls,0.12448752355295194,0.11250717989907319,0.0,0.0,0.0,0.7319394120764334,0.016236119558456063,0.014829764913085441
TCGA-02-2485-01A,nnls,0.47770178272587166,0.0,0.0,0.0,0.0,0.3493767697531949,0.0,0.17292144752093347
TCGA-02-2486-01A,nnls,0.24863382361436748,0.49716420740368494,0.0,0.0,0.0,0.19672834732102262,0.013695710335667691,0.0437779113252573
TCGA-06-0125-01A,nnls,0.3183654105083388,0.0,0.0,0.0,0.0,0.5907216253931653,0.0,0.09091296409849597
TCGA-06-0125-02A,nnls,0.47303018391240553,0.10147898934797404,0.0,0.0,0.0,0.174792127765129,0.0,0.2506986989744913
TCGA-06-0129-01A,nnls,0.22962868855210922,0.3092019449736462,0.0,0.0,0.0,0.38082899939085985,0.04480046074801611,0.03553990633536859
TCGA-06-0130-01A,nnls,0.017432332287632968,0.05081401188939689,0.0,0.0,0.6126300510740511,0.3091052639573606,0.0007740928528063794,0.00924424793875194
TCGA-06-0132-01A,nnls,0.2012285061879395,0.4082482017356383,0.0,0.0,0.0,0.1284700758754848,0.1034221889382802,0.1586310272626571
TCGA-06-0141-01A,nnls,0.08389740269665977,0.31127355738533796,0.0,0.0,0.0,0.48080436735423715,0.015047763542621518,0.10897690902114358
TCGA-06-0152-02A,nnls,0.29837959135552766,0.029446176881802805,0.0,0.0,0.0,0.5948037709543451,0.0,0.07737046080832453
TCGA-06-0157-01A,nnls,0.6324986447991126,0.0,0.0,0.0,0.0,0.12630664146035042,0.0,0.2411947137405371
TCGA-06-0158-01A,nnls,0.43298413913194644,0.0,0.0,0.0,0.0,0.41084942876705666,0.018629805315660254,0.1375366267853366
TCGA-06-0168-01A,nnls,0.365769961696545,0.16192779701073517,0.0,0.0,0.0,0.23897976222879425,0.0,0.23332247906392553
TCGA-06-0171-02A,nnls,0.1369965789714119,0.3487488889922719,0.0,0.0,0.0,0.362468969573403,0.023263114178990487,0.12852244828392265
TCGA-06-0174-01A,nnls,0.2574715785813753,0.17805040589848267,0.0,0.0,0.0,0.4624647020325194,0.03452648129238086,0.06748683219524178
TCGA-06-0184-01A,nnls,0.08078523369708425,0.32189337112698985,0.0,0.0,0.0,0.4374153190022044,0.044170065812510324,0.11573601036121113
TCGA-06-0187-01A,nnls,0.6493820152987605,0.004886530880327622,0.0,0.0,0.0,0.22748933379807654,0.0,0.11824212002283538
TCGA-06-0190-01A,nnls,0.10274002165801766,0.14903713026594642,0.0,0.0,0.0,0.687112828077183,0.0022891161933041885,0.0588209038055488
TCGA-06-0190-02A,nnls,0.022490735393406836,0.020134947788265765,0.0,0.0,0.4308180675947608,0.5189337353192517,0.0,0.007622513904314914
TCGA-06-0210-02A,nnls,0.30888720626620253,0.2011941856158857,0.0,0.0,0.0,0.3436940871349635,0.03177433665875665,0.1144501843241916
TCGA-06-0211-01B,nnls,0.2467528893244637,0.04594963279067633,0.0,0.0,0.0,0.6420294651650678,0.0,0.06526801271979223
TCGA-06-0211-02A,nnls,0.24756046713167895,0.2554750408517874,0.0,0.0,0.0,0.43781290867405775,0.0,0.059151583342475826
TCGA-06-0219-01A,nnls,0.16360435565143766,0.3668665674882648,0.0,0.0,0.0,0.272804378567853,0.10424805800925904,0.09247664028318547
TCGA-06-0221-02A,nnls,0.1766489866860459,0.0,0.0,0.0,0.0,0.5081520607957919,0.18101218730254703,0.13418676521561515
TCGA-06-0238-01A,nnls,0.15787440152775592,0.22549354838546887,0.0,0.0,0.05114374671883915,0.3785042007314613,0.13164795185389483,0.05533615078257994
TCGA-06-0644-01A,nnls,0.0871570553140295,0.22156573332544915,0.0,0.0,0.0,0.6395173258177506,0.00449938718405993,0.047260498358710885
TCGA-06-0645-01A,nnls,0.19631168144204933,0.43794348034352987,0.0,0.0,0.0,0.291340040095304,0.007993131188626134,0.06641166693049054
TCGA-06-0646-01A,nnls,0.26890500701267994,0.4492726682507693,0.0,0.0,0.0,0.13652287996909013,0.002677825002470744,0.14262161976498983
TCGA-06-0649-01B,nnls,0.5254795394852996,0.0,0.0,0.0,0.0,0.0,0.0,0.47452046051470037
TCGA-06-0686-01A,nnls,0.23839870521618578,0.0864412547543756,0.0,0.0,0.0,0.525931563941123,0.09255355291609071,0.05667492317222497
TCGA-06-0743-01A,nnls,0.375716361141417,0.0,0.0,0.0,0.0,0.45365932950566445,0.0,0.17062430935291859
TCGA-06-0744-01A,nnls,0.5212084476181462,0.0,0.0,0.0,0.0,0.4748900834804125,0.0,0.003901468901441349
TCGA-06-0745-01A,nnls,0.28765531541573747,0.15487549451930038,0.0,0.0,0.0,0.47943732440241216,0.0038167518008829907,0.074215113861667
TCGA-06-0747-01A,nnls,0.3266104178389992,0.0,0.0,0.0,0.0,0.5329105021178998,0.0,0.14047908004310106
TCGA-06-0749-01A,nnls,0.4405547165912781,0.3127530961359887,0.0,0.0,0.0,0.0,0.029372417646017397,0.21731976962671581
TCGA-06-0750-01A,nnls,0.5399098747435708,0.07631516140817984,0.0,0.0,0.0,0.1673875740493551,0.0,0.2163873897988942
TCGA-06-0878-01A,nnls,0.2546577263903887,0.24503939763739807,0.0,0.0,0.0,0.32978879186569904,0.0,0.1705140841065141
TCGA-06-0882-01A,nnls,0.2514007019934052,0.18707710608489014,0.0,0.0,0.0,0.25205555990230216,0.04144604302785563,0.26802058899154674
TCGA-06-1804-01A,nnls,0.1259996455904592,0.0,0.0,0.0,0.0,0.73187295940317,0.0191257908972022,0.12300160410916858
TCGA-06-2557-01A,nnls,0.058078955749905015,0.006022032135222622,0.0,0.0,0.8844120250243814,0.023844292031517268,0.010014631589607685,0.01762806346936598
TCGA-06-2558-01A,nnls,0.13985571897585347,0.08512245470632127,0.0,0.0,0.0,0.6492447124829879,0.05374138513091419,0.07203572870392316
TCGA-06-2559-01A,nnls,0.18472758012614712,0.10178969373072884,0.0,0.0,0.0,0.6022330186920065,0.009647130162650107,0.1016025772884674
TCGA-06-2561-01A,nnls,0.3793810809770073,0.08932376437464619,0.0,0.0,0.0,0.28640371391044894,0.0,0.24489144073789765
TCGA-06-2562-01A,nnls,0.06959285123766555,0.34768535749283164,0.0,0.0,0.0,0.5315487956392159,0.005277574456595979,0.045895421173690956
TCGA-06-2563-01A,nnls,0.26510164932541536,0.04839611920371305,0.0,0.0,0.0,0.6070145749703683,0.0012507624538207185,0.0782368940466827
TCGA-06-2564-01A,nnls,0.18619169799194735,0.3081137054994825,0.0,0.0,0.0,0.3754259399859361,0.01767200818125681,0.11259664834137721
TCGA-06-2565-01A,nnls,0.21187248476674508,0.0,0.0,0.0,0.0,0.7278081563723002,0.00041958734123137895,0.05989977151972324
TCGA-06-2567-01A,nnls,0.32347272148516915,0.1401654805543489,0.0,0.0,0.0,0.35650784559522836,0.03344510754484523,0.14640884482040836
TCGA-06-2569-01A,nnls,0.07067458753049226,0.0,0.01161355913771233,0.01935158932808975,0.10404593691232256,0.7871799178026812,0.005764385553985726,0.0013700237347162212
TCGA-06-2570-01A,nnls,0.19088383351982816,0.17296998598229507,0.0,0.0,0.0,0.5486021629660829,0.05549210259329071,0.032051914938503186
TCGA-06-5408-01A,nnls,0.3324817360278099,0.09232380900073664,0.0,0.0,0.0,0.4765802451771262,0.0,0.09861420979432711
TCGA-06-5411-01A,nnls,0.09430618568981698,0.30002512150349187,0.0,0.0,0.0,0.365875194692369,0.15354923501696818,0.08624426309735392
TCGA-06-5412-01A,nnls,0.06992905306174707,0.28592852061242624,0.0,0.0,0.0,0.5802978553985358,0.0003186018944305132,0.06352596903286054
TCGA-06-5413-01A,nnls,0.2135719471831463,0.03893012690101419,0.0,0.0,0.0,0.7041003031165727,0.0004306297005264839,0.04296699309874046
TCGA-06-5414-01A,nnls,0.27159105144180234,0.202477832072323,0.0,0.0,0.0,0.4549299650575539,0.0,0.07100115142832074
TCGA-06-5415-01A,nnls,0.4262537726188645,0.0,0.0,0.0,0.0,0.45917927875046666,0.0,0.11456694863066895
TCGA-06-5418-01A,nnls,0.24516942645809486,0.27885872015912333,0.0,0.0,0.0,0.3549036051177367,0.0,0.12106824826504513
TCGA-06-5856-01A,nnls,0.22390573452284254,0.0372307936139447,0.0,0.0,0.0,0.632769063791866,0.0,0.1060944080713468
TCGA-06-5858-01A,nnls,0.20910504821996626,0.2441821987233559,0.0,0.0,0.0,0.382404118104487,0.07424413714869849,0.0900644978034924
TCGA-06-5859-01A,nnls,0.4932772621822741,0.0,0.0,0.0,0.0,0.0,0.0,0.5067227378177259
TCGA-06-6698-01A,nnls,0.2395582541580199,0.09280838957804227,0.0,0.0,0.0,0.5365536389912006,0.0,0.13107971727273726
TCGA-08-0386-01A,nnls,0.3058750290853144,0.017536231005378072,0.0,0.0,0.0,0.5648792904665837,0.0,0.11170944944272387
TCGA-12-0616-01A,nnls,0.4873018239997568,0.0,0.0,0.0,0.0,0.38771128161098034,0.0015712122930975328,0.12341568209616535
TCGA-12-0618-01A,nnls,0.3091182417699109,0.03898817330725573,0.0,0.0,0.0,0.5144776516722238,0.04300200598569124,0.09441392726491839
TCGA-12-0619-01A,nnls,0.6090661346347164,0.0,0.0,0.0,0.0,0.21142239150695313,0.0,0.17951147385833058
TCGA-12-0821-01A,nnls,0.518409251616264,0.0,0.0,0.0,0.0,0.18927434892279416,0.0019849285345526356,0.2903314709263893
TCGA-12-3650-01A,nnls,0.4146933992957227,0.03692671377232923,0.0,0.0,0.0,0.49923271397744273,0.021512953978562423,0.02763421897594294
TCGA-12-3652-01A,nnls,0.20872837415126202,0.0,0.0,0.0,0.0,0.6295375882795956,0.007199445913118509,0.15453459165602404
TCGA-12-3653-01A,nnls,0.2563389018404826,0.06511420300743265,0.0,0.0,0.0,0.5703293423835106,0.00018175280496539307,0.10803579996360875
TCGA-12-5295-01A,nnls,0.141554240751912,0.03808907471892594,0.0,0.0,0.0,0.7447938736146366,0.0,0.07556281091452559
TCGA-12-5299-01A,nnls,0.2466311159188585,0.3394517703081312,0.0,0.0,0.0,0.36447755603184584,0.0,0.04943955774116454
TCGA-14-0736-02A,nnls,0.05881297395235879,0.00446054600494316,0.0,0.0,0.8826052940292204,0.0,0.0036174800734442452,0.05050370594003336
TCGA-14-0781-01B,nnls,0.1926141631643251,0.201657790941873,0.0,0.0,0.0,0.5125754923792052,0.0,0.09315255351459664
TCGA-14-0787-01A,nnls,0.3665887141313055,0.1761627963624787,0.0,0.0,0.0,0.37050812410226475,0.0,0.08674036540395103
TCGA-14-0789-01A,nnls,0.14200837924292797,0.36643735445240344,0.0,0.0,0.0,0.40369921248868795,0.0,0.08785505381598059
TCGA-14-0790-01B,nnls,0.2473265193219469,0.0,0.0,0.0,0.0,0.5877667514239924,0.0,0.16490672925406064
TCGA-14-0817-01A,nnls,0.19347205058007386,0.33407501697397346,0.0,0.0,0.0,0.375471846628817,0.032277252959317736,0.06470383285781786
TCGA-14-0871-01A,nnls,0.13926969902550224,0.031317783340907554,0.0,0.0,0.0,0.8023993989878334,0.013574004664350485,0.01343911398140641
TCGA-14-1034-01A,nnls,0.2807034717976356,0.03258551917211752,0.0,0.0,0.0,0.5340898879868526,0.0,0.15262112104339426
TCGA-14-1034-02B,nnls,0.24232311589743244,0.03309085021889112,0.0,0.0,0.0,0.6196321696564572,0.0,0.10495386422721925
TCGA-14-1823-01A,nnls,0.3660117765271817,0.2158703915514641,0.0,0.0,0.0,0.2668768559623601,0.0,0.15124097595899408
TCGA-14-1825-01A,nnls,0.2584914936492184,0.0016788110942304838,0.0,0.0,0.0,0.5886543370338553,0.08606929522176365,0.06510606300093219
TCGA-14-1829-01A,nnls,0.1550878901187647,0.04700459752276321,0.0,0.0,0.3730741300923891,0.3852876976238934,0.022136553494770134,0.017409131147419474
TCGA-14-2554-01A,nnls,0.2749457307929747,0.06986709352738901,0.0,0.0,0.0,0.5455119430826662,0.0,0.10967523259697007
TCGA-15-0742-01A,nnls,0.4249390784472415,0.0,0.0,0.0,0.0,0.49322549405198746,0.0,0.08183542750077107
TCGA-15-1444-01A,nnls,0.24669898105013796,0.0,0.0,0.0,0.0,0.5408796708287036,0.12163704556457416,0.09078430255658419
TCGA-16-0846-01A,nnls,0.49294856318930924,0.027997608010398186,0.0,0.0,0.0,0.21790144747576187,0.05353891139624126,0.2076134699282895
TCGA-16-1045-01B,nnls,0.3410710386002464,0.2795498069070061,0.0,0.0,0.0,0.20825967115798777,0.012885989302007272,0.15823349403275228
TCGA-19-1390-01A,nnls,0.1838792707919536,0.1832189126838123,0.0,0.03807817652862763,0.0,0.34487803235389863,0.22161800088830977,0.028327606753398002
TCGA-19-1787-01B,nnls,0.17950335349575594,0.2983287519775424,0.0,0.0,0.0,0.35581958517171847,0.05253662403367353,0.11381168532130966
TCGA-19-2619-01A,nnls,0.2754181433871707,0.0,0.0,0.0,0.0,0.5754348436577469,0.0,0.14914701295508243
TCGA-19-2620-01A,nnls,0.33647931641685735,0.003294079973610379,0.0,0.0,0.0,0.3513337469621788,0.09790380130467556,0.21098905534267795
TCGA-19-2624-01A,nnls,0.3455089409647609,0.0,0.0,0.0,0.0,0.5589542378865547,0.009532315442253633,0.08600450570643063
TCGA-19-2625-01A,nnls,0.6335523503815942,0.0,0.0,0.0,0.0,0.0,0.0,0.3664476496184059
TCGA-19-2629-01A,nnls,0.40758823478582773,0.004105370827836158,0.0,0.0,0.0,0.3611247076521472,0.0917908619854603,0.13539082474872852
TCGA-19-4065-01A,nnls,0.1257018081030352,0.4031109978160096,0.0,0.0,0.0,0.39141677287986254,0.006865410742350456,0.0729050104587421
TCGA-19-4065-02A,nnls,0.12555437979982134,0.1002328461972813,0.0,0.0,0.0,0.6577087713582424,0.012787488571891686,0.10371651407276328
TCGA-19-5960-01A,nnls,0.3354629521619014,0.0,0.0,0.0,0.0,0.4556668293280729,0.03212555347763279,0.17674466503239294
TCGA-26-1442-01A,nnls,0.1491422961119637,0.0,0.0,0.0,0.0,0.7088661834542296,0.05598681673250852,0.08600470370129823
TCGA-26-5132-01A,nnls,0.32927504778403377,0.06720951572066827,0.0,0.0,0.0,0.5008335030717127,0.0038839704474838087,0.0987979629761013
TCGA-26-5133-01A,nnls,0.6129503512772944,0.0,0.0,0.0,0.0,0.0,0.0,0.38704964872270564
TCGA-26-5134-01A,nnls,0.34705770095364863,0.06604456256788246,0.0,0.0,0.0,0.37974217777776464,0.09237594591177946,0.11477961278892475
TCGA-26-5135-01A,nnls,0.23096320017782618,0.07863996141076111,0.0,0.0,0.0,0.6018465778977374,0.020615190433880215,0.06793507007979502
TCGA-26-5136-01B,nnls,0.3785270849574151,0.17488550181798976,0.0,0.0,0.0,0.2890755388598585,0.01300278182223049,0.14450909254250616
TCGA-26-5139-01A,nnls,0.4525213000059571,0.060480140680666275,0.0,0.0,0.0,0.3231021672465414,0.0,0.16389639206683523
TCGA-27-1830-01A,nnls,0.31840501848347896,0.0,0.0,0.0,0.0,0.5402594522654681,0.006248367273997512,0.13508716197705542
TCGA-27-1831-01A,nnls,0.2369410138240194,0.07424191028611694,0.0,0.0,0.0,0.6474526084545724,0.0024715380019163747,0.038892929433374836
TCGA-27-1832-01A,nnls,0.5417043182597023,0.09084313655896978,0.0,0.0,0.0,0.03839280338799976,0.0,0.32905974179332814
TCGA-27-1834-01A,nnls,0.7454014501580472,0.0,0.0,0.0,0.0,0.0,0.0,0.25459854984195296
TCGA-27-1835-01A,nnls,0.09127416395150395,0.0,0.0,0.0,0.0,0.7727802356206611,0.0,0.13594560042783496
TCGA-27-1837-01A,nnls,0.4283585522754032,0.014026532222645402,0.0,0.0,0.0,0.3856039522907966,0.014701709885321258,0.1573092533258336
TCGA-27-2519-01A,nnls,0.43854423620339533,0.06580103008174631,0.0,0.0,0.0,0.24301454690348911,0.0,0.2526401868113692
TCGA-27-2521-01A,nnls,0.32817156480931753,0.0,0.0,0.0,0.0,0.5101332861443546,0.05385868827065221,0.10783646077567578
TCGA-27-2523-01A,nnls,0.23006764298250237,0.08570737521495082,0.0,0.0,0.0,0.6141195478327642,0.009834457975182348,0.06027097599460021
TCGA-27-2524-01A,nnls,0.06426226949141449,0.301403362728506,0.0,0.0,0.0,0.6039049547762035,0.0064863738138716265,0.023943039190004352
TCGA-27-2526-01A,nnls,0.5157911777499175,0.0,0.0,0.0,0.0,0.3531948849803434,0.0,0.13101393726973917
TCGA-27-2528-01A,nnls,0.16762468187229074,0.0,0.0,0.0,0.0,0.7499504692422729,0.0,0.0824248488854364
TCGA-28-1747-01C,nnls,0.5605407908952551,0.2890633614164782,0.0,0.0,0.0,0.0,0.020781828473744955,0.12961401921452176
TCGA-28-1753-01A,nnls,0.225425583663711,0.08723884296511611,0.0,0.0,0.0,0.6425374468461631,0.008435031513200334,0.03636309501180931
TCGA-28-2509-01A,nnls,0.1312695624018668,0.13166957121719786,0.0,0.0,0.0,0.6758443329282965,0.0,0.061216533452638874
TCGA-28-2510-01A,nnls,0.1528842669572087,0.0,0.0,0.0,0.0,0.4421532890738926,0.24464206453436416,0.16032037943453456
TCGA-28-2513-01A,nnls,0.1592856078500911,0.16320363628007797,0.0,0.0,0.0,0.6062136643128276,0.0,0.07129709155700335
TCGA-28-2514-01A,nnls,0.21136537713639442,0.02894959577995006,0.0,0.0,0.0,0.6909377813786396,0.015703586163984214,0.05304365954103173
TCGA-28-5204-01A,nnls,0.1699253741080008,0.03682339884443137,0.0,0.0,0.0,0.761294819833799,0.0,0.0319564072137688
TCGA-28-5207-01A,nnls,0.331349119175073,0.0,0.0,0.0,0.0,0.5549724981199362,0.0037727631393293768,0.10990561956566149
TCGA-28-5208-01A,nnls,0.15706094696488426,0.12192537889943192,0.0,0.0,0.0,0.626012549891238,0.0014743962230748314,0.09352672802137106
TCGA-28-5209-01A,nnls,0.3015965601558936,0.0,0.0,0.0,0.0,0.5953210027991285,0.0,0.10308243704497787
TCGA-28-5213-01A,nnls,0.41260389450562274,0.3323376299872558,0.0,0.0,0.0,0.0,0.0,0.25505847550712146
TCGA-28-5215-01A,nnls,0.2985269695004203,0.028550417412115472,0.0,0.0,0.0,0.4895939950150572,0.045621998668563826,0.13770661940384332
TCGA-28-5216-01A,nnls,0.18948205610981406,0.05512886487463485,0.0,0.0,0.0,0.650243965325219,0.03640278884662,0.06874232484371205
TCGA-28-5218-01A,nnls,0.020317626439426997,0.011607199171509828,0.0,0.00961906779700618,0.622606293797319,0.3315280842164589,0.003840856585609627,0.00048087199266941326
TCGA-28-5220-01A,nnls,0.5956750067317054,0.0,0.0,0.0,0.0,0.0,0.03510502847260524,0.3692199647956894
TCGA-32-1970-01A,nnls,0.48346695047379346,0.0,0.0,0.0,0.0,0.3282568816875966,0.0,0.18827616783860998
TCGA-32-1980-01A,nnls,0.13535001226153656,0.2658653722922164,0.0,0.0,0.0,0.38709617444062205,0.08404538430578658,0.12764305669983833
TCGA-32-1982-01A,nnls,0.22016227308225256,0.0,0.0,0.0,0.0,0.7299628232222197,0.007732958646458391,0.04214194504906936
TCGA-32-2615-01A,nnls,0.4399721807230807,0.0,0.0,0.0,0.0,0.38287976811627,0.0,0.1771480511606492
TCGA-32-2616-01A,nnls,0.24481251613539437,0.0859741358891339,0.0,0.0,0.0,0.4813852920411341,0.016032865881676288,0.17179519005266128
TCGA-32-2632-01A,nnls,0.43385244725569616,0.03932412057209143,0.0,0.0,0.0,0.3731454661488024,0.0,0.15367796602341005
TCGA-32-2634-01A,nnls,0.18957954795670665,0.03792508124605196,0.0,0.0,0.0,0.6027458806915084,0.056907007276908804,0.11284248282882417
TCGA-32-2638-01A,nnls,0.2606910216506069,0.03684441210607404,0.0,0.0,0.0,0.604199942216821,0.0,0.09826462402649795
TCGA-32-4213-01A,nnls,0.3729927411579861,0.0,0.0,0.0,0.0,0.44291889746842267,0.0,0.1840883613735912
TCGA-32-5222-01A,nnls,0.13589459224922204,0.19057241080821954,0.0,0.0,0.0,0.585251874130192,0.033669986065456986,0.054611136746909476
TCGA-41-2571-01A,nnls,0.20969696321660303,0.2960154591173196,0.0,0.0,0.0,0.25685551726177835,0.18764355548103595,0.049788504923263005
TCGA-41-2572-01A,nnls,0.46718568083399853,0.0,0.0,0.0,0.0,0.37936039658021264,0.0,0.1534539225857888
TCGA-41-3915-01A,nnls,0.22898985995557483,0.14838395879605004,0.0,0.0,0.0,0.5547303526639035,0.008167374033765605,0.05972845455070591
TCGA-41-4097-01A,nnls,0.20467163077160905,0.15487463918963607,0.0,0.0,0.0,0.48425284903985016,0.0,0.1562008809989047
TCGA-41-5651-01A,nnls,0.2535700571746529,0.0,0.0,0.0,0.0,0.6026778348778249,0.06161049808916222,0.08214160985835992
TCGA-76-4925-01A,nnls,0.273135401354098,0.14996188211930594,0.0,0.0,0.0,0.4164390035593284,0.0,0.16046371296726772
TCGA-76-4926-01B,nnls,0.49418685013233027,0.0,0.0,0.0,0.0,0.3457334817296868,0.0,0.16007966813798288
TCGA-76-4928-01B,nnls,0.0904601795950514,0.13882369284746537,0.0,0.0,0.0,0.7270402406904332,0.0018609994594245031,0.041814887407625616
TCGA-76-4929-01A,nnls,0.5115983701085465,0.003645592962685964,0.0,0.0,0.0,0.0,0.0,0.4847560369287676
TCGA-76-4931-01A,nnls,0.37664762530829554,0.07566089186160099,0.0,0.0,0.0,0.42111634662076125,0.0,0.1265751362093422
TCGA-02-0047-01A,svr,0.2799024835448473,0.1976632293946716,0.0,0.0,0.0,0.3645966017106433,0.03513421329940545,0.12270347205043249
TCGA-02-0055-01A,svr,0.10625899520501605,0.33144720726773585,0.0,0.0,0.025393065464161504,0.48808040384355283,0.006428066537762387,0.042392261681771286
TCGA-02-2483-01A,svr,0.2733119143550143,0.15556865929465286,0.0,0.0,0.0,0.5704656131742928,0.00032239097178708264,0.0003314222042530666
TCGA-02-2485-01A,svr,0.5462430193121226,0.0,0.0,0.0,0.0,0.3606576856611338,0.0,0.0930992950267436
TCGA-02-2486-01A,svr,0.17357890204476237,0.5204297020817327,0.0,0.0,0.0,0.23484799479615118,0.04090943082854097,0.030233970248812844
TCGA-06-0125-01A,svr,0.4161522280574422,0.018096919274131956,0.0,0.0,0.0,0.46263669780572947,0.0,0.10311415486269648
TCGA-06-0125-02A,svr,0.31720700774296695,0.172857058877076,0.0,0.0,0.0,0.35966920540558955,0.02125153723457629,0.12901519073979115
TCGA-06-0129-01A,svr,0.33069892739305784,0.439035898500509,0.0,0.0,0.0,0.15119398832130873,0.06130561503660898,0.017765570748515366
TCGA-06-0130-01A,svr,0.032536813125025,0.320181959978945,0.023539534884825828,0.0,0.1734076141145065,0.4203923638209744,0.008447794076227989,0.021493919999495303
TCGA-06-0132-01A,svr,0.10809503279134634,0.4534149220271372,0.0,0.0,0.0,0.21572866331923468,0.13890639332615845,0.08385498853612333
TCGA-06-0141-01A,svr,0.11359600847231088,0.38763026769688375,0.0,0.0018550229158851709,0.0,0.3499789186689702,0.03382140249436214,0.11311837975158787
TCGA-06-0152-02A,svr,0.43311750442479824,0.07048204617940294,0.0,0.0,0.0,0.44624455137527863,0.0,0.0501558980205201
TCGA-06-0157-01A,svr,0.4050909992026365,0.04062733414550201,0.0,0.0,0.0,0.4297309397392302,0.005950985071477955,0.11859974184115339
TCGA-06-0158-01A,svr,0.25226721080073244,0.10687568561755101,0.0,0.0,0.0,0.442934538878803,0.07408379349677634,0.12383877120613726
TCGA-06-0168-01A,svr,0.2050198843984435,0.265206175430029,0.0,0.0,0.0,0.3684634429613691,0.026804294462583957,0.1345062027475745
TCGA-06-0171-02A,svr,0.009313357790895063,0.3853359553272428,0.006454755968983764,0.0,0.17368803143609018,0.3197430765926142,0.05557927003348143,0.04988555285069244
TCGA-06-0174-01A,svr,0.657488038577564,0.05571909351701421,0.0,0.0,0.0,0.21835820469645967,0.030871722540459452,0.03756294066850272
TCGA-06-0184-01A,svr,0.08038534120897313,0.351295877771579,0.0,0.0,0.0,0.4376291501098324,0.054166378684559244,0.0765232522250562
TCGA-06-0187-01A,svr,0.32180157684819954,0.18190992685473506,0.0,0.0,0.0,0.4066950542768627,0.0,0.08959344202020261
TCGA-06-0190-01A,svr,0.16177936240598711,0.28696508247240105,0.0,0.0,0.0,0.49330464096645055,0.011139228059299596,0.04681168609586166
TCGA-06-0190-02A,svr,0.062212607733813305,0.16439868440549713,0.01580488252945548,0.0,0.2527186092873696,0.4775609382000867,0.0,0.02730427784377783
TCGA-06-0210-02A,svr,0.2146080447990708,0.3831748297589775,0.0,0.0,0.0,0.25194553896484645,0.07503533798994251,0.07523624848716275
TCGA-06-0211-01B,svr,0.508555134410061,0.09109044771642276,0.0,0.0,0.0,0.3456785448212199,0.0,0.05467587305229635
TCGA-06-0211-02A,svr,0.3406417501869992,0.27370015162421035,0.0,0.0,0.0,0.33787627976391715,0.0,0.04778181842487337
TCGA-06-0219-01A,svr,0.30676035712903443,0.15111684208942824,0.0,0.003184439731921491,0.0,0.2476545260622007,0.19270500392730336,0.0985788310601117
TCGA-06-0221-02A,svr,0.240390599278662,0.0,0.0,0.0,0.0,0.35384256446407364,0.24614394109970728,0.15962289515755707
