sample_id,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-CS-4938-01B,nnls,0.9860815990591479,0.0,0.0,0.0,0.0,0.0,0.0005845235014959401,0.013333877439356068
TCGA-CS-4941-01A,nnls,0.9735241707176258,0.013395121387937014,0.0,0.0,0.0,0.0,0.0,0.01308070789443708
TCGA-CS-4942-01A,nnls,0.9167891345326857,0.05588233189932556,0.0,0.0,0.0,0.0,0.010294332214856677,0.01703420135313194
TCGA-CS-4943-01A,nnls,0.928855480340471,0.04064413065830276,0.0,0.0,0.0,0.002796242771400148,0.01763923123614664,0.010064914993679454
TCGA-CS-4944-01A,nnls,0.9710064866394065,0.0,0.0,0.0,0.0,0.0,0.0,0.02899351336059361
TCGA-CS-5390-01A,nnls,0.8474507777499304,0.005953738075762779,0.0,0.0,0.02572864331104143,0.02445074273585673,0.07099103972409107,0.025425058403317637
TCGA-CS-5393-01A,nnls,0.7966013768514415,0.06303874158674726,0.0,0.0,0.0028712802069297675,0.01982426658006649,0.06099489911595974,0.05666943565885518
TCGA-CS-5394-01A,nnls,0.8102297918567576,0.002605267989075361,0.0,0.00117925541789768,0.016361801781958545,0.07915441863457989,0.0,0.09046946431973107
TCGA-CS-5395-01A,nnls,0.8904233136229008,0.009671886295460763,0.0,0.0,0.0,0.0,0.017467833863448093,0.08243696621819038
TCGA-CS-5396-01A,nnls,0.9094983498060918,0.0,0.0,0.0,0.0,0.0,0.07982177059958472,0.010679879594323557
TCGA-CS-5397-01A,nnls,0.9484725102047694,0.01098857094636449,0.0,0.0,0.0,0.0,0.004946643269298709,0.03559227557956734
TCGA-CS-6186-01A,nnls,0.8819349340458807,0.007017647840482319,0.0,0.0,0.0,0.0,0.0,0.11104741811363686
TCGA-CS-6188-01A,nnls,0.9706463162373624,0.002430715929776878,0.0,0.0,0.0,0.0,0.0,0.02692296783286072
TCGA-CS-6290-01A,nnls,0.9808269716528549,0.0046040000003598125,0.0,0.0,0.0,0.0,0.0018446155808929663,0.01272441276589222
TCGA-CS-6665-01A,nnls,0.7386322275461119,0.12638741459036892,0.0,0.0,0.0,0.005245462860590163,0.11298293218015631,0.016751962822772724
TCGA-CS-6666-01A,nnls,0.9404653592498953,0.004222840639454535,0.0,0.0,0.0,0.03254923165148765,0.0,0.022762568459162528
TCGA-CS-6667-01A,nnls,0.8206331250690309,0.032921752445619186,0.0,0.0,0.013838871074245414,0.09085870047639645,0.003181984707507679,0.038565566227200566
TCGA-CS-6668-01A,nnls,0.9390364546596646,0.0005550866336257103,0.0,0.0,0.0,0.013834779351017528,0.03153777130471235,0.01503590805097983
TCGA-CS-6669-01A,nnls,0.0786859097330733,0.0,0.0,0.06829603761198355,0.10336028664235221,0.12830732490968313,0.22032512576512775,0.40102531533778
TCGA-CS-6670-01A,nnls,0.9458004431377779,0.0,0.0,0.0,0.0,0.0,0.0055057325901059955,0.04869382427211608
TCGA-DB-5270-01A,nnls,0.8919636634950217,0.02691763273120626,0.0,0.0,0.0,0.0,0.02946356807873056,0.051655135695041515
TCGA-DB-5273-01A,nnls,0.989526957491098,0.0,0.0,0.0,0.0,0.0,0.0,0.010473042508902073
TCGA-DB-5274-01A,nnls,0.6732933120546039,0.021075287779023812,0.0,0.0,0.2176245636002242,0.059242608567383455,0.0243630840950157,0.004401143903749024
