sample,absolute_purity,nnls,svr,cibersortx,cibersortx_smode,elastic_net,bayesian,bayesian_hierarchical,music,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-CS-4938-01B,0.79,0.40120204961233324,0.09697102490725262,0.03204886632421036,0.08202492129462106,0.1059746926836697,0.007396117839344971,1.6888113218421113e-10,0.31810856913670743,0.2811492495187464,0.384706204503009,0.384706204503009,0.21421273667313276,0.9799108701462491
TCGA-CS-4941-01A,0.62,0.583363600188776,0.2105734467333509,0.08571181726532978,0.10442360225842845,0.1485613914348597,0.045627866005829555,0.04707821543325402,0.3942542811697463,0.2621803728383479,0.4641713201731756,0.4641713201731756,0.43263371351237967,0.4761446826939747
TCGA-CS-4942-01A,0.77,0.3948869932832586,0.19139385859818486,0.15582677604370396,0.09100180427971734,0.0923060577736649,0.10797187553018592,0.12558317061551935,0.3453249285320519,0.235059652519903,0.47486326407497387,0.47486326407497387,0.20413948800776324,0.9685533317952824
TCGA-CS-4943-01A,0.9,0.28541417837040495,0.3364088093618228,0.2384269732135286,0.016776498111548226,0.2091864318279732,0.245431177778663,0.25521912133759034,0.7197002401976278,0.30006247727261187,0.6610358348900229,0.6610358348900229,0.15171280877736582,0.6031416448491038
TCGA-CS-4944-01A,0.74,0.547947602513613,0.17054460373062438,0.020875979635925603,0.41305561918002326,0.43331185596853017,0.0013128523258609246,2.1387122661434602e-17,0.2269217220619493,0.31044902422701887,0.30489733798984925,0.30489733798984925,0.013010675098776993,0.8806244114900711
TCGA-CS-5390-01A,0.86,0.18567369718085597,0.15516778775942358,0.13410589938942555,0.02076031097812151,0.16696487942414737,0.20287900403572345,0.21711862082319058,0.4143775133040896,0.2698743550560077,0.43048580543687226,0.43048580543687226,0.08024358083885982,0.3644667549933589
TCGA-CS-5393-01A,0.71,0.11403898397884182,0.06446152335590172,0.07031231099729447,0.013544462427737537,0.05583603527058106,0.09969227131247517,0.10375872935976606,0.3760984920428391,0.269769541152971,0.4711872562867943,0.4711872562867943,0.0394689609187811,0.2691306242033514
TCGA-CS-5394-01A,0.9,0.08620265969152288,0.14696983957253218,0.13131846209016357,0.001253532080992896,0.05076021922722633,0.1862287142285873,0.1862066470452747,0.32964008795432853,0.33036874100478114,0.45899192894206353,0.45899192894206353,0.02333259540444622,0.1936662856371222
TCGA-CS-5395-01A,0.81,0.3899829410427504,0.11525532172701695,0.011092027418772498,0.06419521195315682,0.10239539665182408,0.03238485731999981,0.03610568875573893,0.23688604417019263,0.2924997141114182,0.2660915460525308,0.2660915460525308,0.18927499557933208,0.7658148132595434
TCGA-CS-5396-01A,0.89,0.2264476246487936,0.2960398526008845,0.18990606375563207,0.029829040378907445,0.10818416174317674,0.20724441212565775,0.21941210105936645,0.39101053004841846,0.25894136060532214,0.37738508538341997,0.37738508538341997,0.11495519718935222,0.06207819844875287
TCGA-CS-5397-01A,0.64,0.270377527528289,0.18511365823480502,0.09613524485099167,0.06085465286164121,0.25700231912903837,0.04117059808996969,0.04347485379953844,0.3245982232339885,0.2567615298140819,0.4041018535025371,0.4041018535025371,0.14871448646636282,0.7279595262270434
TCGA-CS-6186-01A,0.89,0.3291286874955892,0.0400634531787637,0.0,0.002014573121251063,0.2898092328754132,0.002172077238652452,1.453779574469103e-19,0.15896633247583142,0.32067501453810804,0.4083850674302643,0.4083850674302643,0.16209403565361413,0.5629608462440021
TCGA-CS-6188-01A,0.68,0.3882346215289166,0.1711277942489881,0.3643758871806805,0.07842139944342626,0.1820849963375117,0.02152783070176188,0.022692869300686768,0.37976287207186005,0.449685724830069,0.34591466053900755,0.34591466053900755,0.29149824848525097,0.7515179398434656
TCGA-CS-6290-01A,0.69,0.543317982068998,0.10868690476206333,0.03963264684279951,0.10685289354627872,0.13756907854377393,0.010242595758344668,2.5709979644102087e-05,0.21662308106331127,0.2594321270854381,0.26234352050920445,0.26234352050920445,0.32383590752870617,0.994866542113219
TCGA-CS-6665-01A,0.73,0.24010513707074105,0.12481458073663998,0.03774927854599561,0.055648603876788195,0.09503703511023996,0.08000997956785164,0.08310731406973619,0.20725523271937474,0.0408891569387966,0.2077562917068151,0.2077562917068151,0.08882517038684914,0.7149624171260861
TCGA-CS-6666-01A,0.42,0.15495799824997594,0.1850524212201046,0.10848339086888961,0.01323112180173363,0.09754568261386427,0.06693316977443986,0.06810156426135702,0.3334958104991678,0.2969041259419139,0.28387842703519456,0.28387842703519456,0.08733970969581951,0.2474676251443882
TCGA-CS-6667-01A,0.73,0.0722847188378746,0.1058177219543366,0.045131095450223625,0.007848467296434914,0.04191303714498831,0.05184919133629165,0.05447949375916603,0.26288978666350843,0.2872788906618542,0.2661177985704128,0.2661177985704128,0.025991365363850556,0.1872448177967011
TCGA-CS-6668-01A,0.98,0.2797325318328058,0.25496359790828416,0.2598572216687476,0.014220324606200358,0.1322115663125072,0.34162523287642443,0.3646856410622273,0.6268790087021638,0.3096186972197173,0.6152066420166837,0.6152066420166837,0.13538606094902828,0.3001649890185985
TCGA-CS-6669-01A,0.28,0.0,0.0,0.0,0.0,0.0,0.12777059458394086,0.14853766736493743,0.0655658030847393,0.2726965386704671,0.16181381104637685,0.16181381104637685,1.831840809803913e-08,0.014841478543650453
TCGA-CS-6670-01A,0.82,0.09721621023770392,0.3284450944400103,0.16914183606063324,0.01452690871906793,0.03284501933465204,0.09331201617662815,0.0985011173303537,0.40601203415257636,0.3071899328867787,0.5489571808243278,0.5489571808243278,0.04287894437511398,0.19858480499916764
TCGA-DB-5270-01A,0.58,0.2522086981637992,0.2492350264422194,0.07884368443258638,0.046099357765718815,0.10213589903515023,0.10151900587214724,0.10719535629306894,0.40252095673616556,0.2626064119868711,0.5275748003421754,0.5275748003421754,0.11138245090707392,0.46521912969160006
TCGA-DB-5273-01A,0.73,0.43205428259039613,0.2793253193759529,0.07414660892150497,0.25624027021900375,0.13677165591339518,0.01102898968574827,0.018539685720945952,0.6711544174093546,0.31160233743688276,0.4134591178355266,0.4134591178355266,0.24559308540949087,0.9994612526002054
