"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"TCGA-14-1402-02",0,0.0926401658304571,0.133553515436753,0,0.642684848110709,0,0.131121470622081
"TCGA-06-0152-01",0.0481916766879482,0.17979472059577,0.0651397507350572,0,0.651608121013051,0,0.0552657309681735
"TCGA-19-5950-01",0.0395313966314699,0.0780186294392982,0.0477030154850739,0,0.680121848866806,0,0.154625109577352
"TCGA-06-5413-01",0,0.0566050398840053,0.265925256879823,0,0.540203100670189,0,0.137266602565983
"TCGA-19-5954-01",0,0.232985844166695,0.0948718210203266,0,0.560931592026139,0,0.111210742786839
"TCGA-76-6283-01",0.122722103715568,0.0134150109290939,0.00306222577014562,0.183243296360541,0.475611631732529,0,0.201945731492122
"TCGA-06-5408-01",0,0.106204556720018,0.170585817126801,0,0.536447779026939,0,0.186761847126242
"TCGA-19-A6J4-01",0.0105067559133799,0.06918890593277,0.19309157461159,0,0.646516859105225,0,0.0806959044370348
"TCGA-06-5856-01",0.0699522328947554,0.147374185698366,0.109730544741753,0,0.527824019374443,0,0.145119017290682
"TCGA-32-1980-01",0,0.0814791890652943,0.145746295009955,0,0.630711571207271,0,0.14206294471748
"TCGA-14-0862-01",0,0,0,0,0.983968044489124,0,0.0160319555108756
"TCGA-14-1402-01",0,0.136420563645082,0.144689349046225,0,0.644537046324984,0,0.0743530409837095
"TCGA-76-6282-01",0.0338780771360607,0.148312830711768,0.171313253981719,0,0.613340968799093,0,0.0331548693713586
"TCGA-06-A5U1-01",0.0753582050122967,0.0532884833617854,0.121465740965717,0,0.599155531491913,0,0.150732039168288
"TCGA-RR-A6KB-01",0.0574627059497709,0.0799293624758562,0.171217602546,0,0.486868152154809,0,0.204522176873564
"TCGA-06-0152-02",0,0.102189108741953,0.220072571010582,0,0.505824894428535,0,0.171913425818929
"TCGA-76-6286-01",0,0.152933708369958,0,0,0.592027858131405,0,0.255038433498637
"TCGA-76-6664-01",0.00353673111623935,0.0939263123463567,0.142270574200392,0,0.625791051790858,0,0.134475330546154
"TCGA-19-0957-02",0.0319711537973391,0.129683935240014,0.201279454535595,0,0.509446172579968,0,0.127619283847084
"TCGA-74-6577-01",0,0.207205214968875,0.19325996590902,0,0.522477272136228,0,0.0770575469858765
"TCGA-76-6193-01",0.0295593777754479,0.0880662604888134,0.134777216316,0,0.603293177503899,0,0.14430396791584
"TCGA-06-5859-01",0.104917170943938,0.0232266645570012,0,0.150567611034339,0.641884414009049,0,0.0794041394556727
"TCGA-87-5896-01",0,0.228888992132838,0.372930546553224,0,0.297167165318868,0,0.101013295995071
"TCGA-06-5411-01",0.0474004057411935,0.0884523077144927,0.110522685309415,0,0.503834888702929,0,0.24978971253197
"TCGA-14-0740-01",0.14704409557207,0.0203530443291157,0.0286131509938661,0.224611082501969,0.455983283233689,0,0.12339534336929
"TCGA-14-1450-01",0.00278165652851143,0.15105133658598,0.164339658800787,0,0.667451575562378,0,0.0143757725223423
"TCGA-76-6657-01",0,0.0752015710088802,0.114772742918456,0,0.719975138083828,0,0.0900505479888356
"TCGA-06-AABW-11",0,0.0410178631015861,0.174143973165416,0,0.500123659824041,0,0.284714503908957
"TCGA-06-6391-01",0.0512912207998416,0.0226735063854387,0.231879323341619,0,0.44161573327883,0,0.25254021619427
