"","otherCells"
"300173630",1.51367784972933e-09
"300173636",1.08398170772794e-07
"300629315",2.54122782217259e-06
"300629344",3.12232127708256e-07
"300629350",2.61162040993135e-07
"300629358",2.25816383370159e-08
"300629403",1.62458589370029e-06
"300629424",8.72130027640416e-07
"300629432",9.50421785017586e-06
"301287570",1.50720292357853e-07
"301287582",3.23052928341561e-06
"302262300",1.873718650236e-07
"301287613",6.51513455185437e-07
"301287630",2.97531242088311e-07
"301287636",4.37370295536255e-09
"301626681",6.79919588963962e-07
"301626685",1.28940783417075e-06
"301626689",7.39880268163517e-10
"301626693",1.65801280116451e-06
"301287698",5.84206245823893e-07
"301287708",0.435073608171496
"301626597",2.29807450846664e-08
"301626605",1.31880084396352e-05
"302264000",1.72177798712925e-05
"304950286",3.76356468212435e-09
"304950292",1.07619702038875e-09
"304357555",7.411379416844e-07
"303748303",1.29793553382829e-06
"303748309",2.30915508936391e-10
"303748328",7.65190300011653e-09
"301287644",0.21203993529862
"300173634",0.171894028009075
"300629309",1.83095801964406e-07
"300173646",0.214199873298149
"300629348",0.294098322429448
"300629376",0.293609497957796
"300629384",0.180232620382983
"301287568",0.196001022469695
"300629422",0.161519269871999
"300629436",0.278821671723352
"302262290",0.18499030650276
"301287632",3.27109588393881e-06
"301626679",0.14841378780104
"301287692",0.00599805855337432
"301287700",0.0999304091320973
"301287736",0.106788757469159
"302264006",0.247360764228598
"302264008",0.238196263757754
"302264010",0.235870055344106
"303748199",0.250012908089048
"304950290",1.19479301660119e-05
"304950296",0.0738628077139336
"304357559",7.22085718440901e-07
"303748201",1.67076294168567e-05
"301287738",0.150200131779384
"300173642",2.86415201478096e-06
"300629317",1.24585172089908e-06
"300629321",7.73197161074712e-07
"300629346",1.39641953667002e-07
"300629370",5.7895022109733e-11
"300629360",2.14980602208925e-08
"300629405",2.3326723774808e-08
"300629426",1.42193439134353e-07
"300629434",9.91527372318224e-07
"302262292",3.54763826615478e-06
"302262298",2.35200874743047e-06
"301287611",5.06039089664956e-06
"301287615",1.44870337948078e-10
"301287634",4.6154004729182e-07
"301626683",1.30098132267165e-09
"301626687",7.46772280790786e-07
"301626599",1.02917025626148e-05
"301626607",2.29310475796662e-06
"302264002",5.55284992431737e-07
"304950288",1.09700125205947e-06
"304950294",2.32190178195424e-09
"304357557",9.90724502436535e-10
"301287740",1.06410127376222e-06
"301626595",2.81486345343751e-09
"300173640",5.70174496505871e-09
"300173644",3.85614379316834e-08
"300629323",8.74297887198949e-07
"300629356",1.4904696477025e-07
"300629374",4.16216927034974e-07
"300629382",6.51316733879526e-09
"300629401",1.81863479953304e-06
"300629409",4.18555773595841e-07
"300629430",2.65999502069292e-06
"301287572",3.29592078629482e-07
"301287584",5.32074715398068e-08
"301287607",1.18281975536316e-06
"301287638",3.79270226336104e-09
"301287704",1.63126490093646e-08
"301287728",1.85331081592466e-07
"301287734",1.43326572832336e-08
"301626603",2.74686062784468e-09
"301626609",2.25417540189454e-08
"302263998",3.68619849311358e-07
"303748195",7.40713654856506e-07
"301287599",4.69081357756806e-07
"303748305",1.08433898637905e-07
"303748315",6.11881394441127e-08
"300173638",1.10407731979123e-06
"300629352",0.170871873708007
"300629372",0.152357240622063
"300629399",0.123691068730111
"300629407",0.126391278427191
"302262284",4.18110432942598e-08
"301287609",2.06563210658484e-06
"301287640",2.87416760391679e-08
"301626695",3.64076576031547e-06
"301287706",0.0541436479690337
"301287730",0.0646165435397072
"301626601",0.0290801434775801
"302263996",7.82705970481246e-06
"302264004",0.150174919540715
"300629325",0.256879000761058
"300629386",0.179349257883291
"301287601",1.69133877103711e-06
"303748307",0.0189253494227681
"303748311",5.39172588798209e-08
"303748317",3.22996684387622e-06
