sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.002597085231094613,0.9945120102942606,0.0005850228390675507,2.847695675845138e-06,8.636231701722497e-22,2.8088738465445314e-17,0.002303033939901514,6.618876143966179e-27
mix00001,9.767219096820033e-09,0.8002547841988668,0.02469596025931432,0.1610988103980817,0.004827642286485495,9.511122297889232e-06,0.009113281966830113,9.045640814009823e-13
mix00002,0.13562504066482195,0.006544099327118325,2.0966981593238135e-13,0.08231378612044743,0.06248311685651558,0.024805974879172157,0.2640348528119482,0.42419312933976683
mix00003,0.0008584269208247631,0.6813486095153471,0.11664569151428374,0.19280803755247217,5.176618834177279e-07,0.00012181455939341879,0.004229329213158098,0.003987573062637243
mix00004,0.00023359457074324534,0.38791704675491046,2.2328491388946406e-08,8.966264283661095e-12,8.120259710144597e-15,0.33051767654209513,0.11738733306402684,0.16394432673075862
mix00005,0.12310209371811058,0.6757113184259583,4.6645521984422853e-05,0.0005781887286654753,7.535322218778497e-06,0.00018903356067944104,0.0397211286413994,0.1606440560809835
mix00006,0.2135768236807675,0.5456058621654827,4.447961698528424e-05,9.958177380400729e-05,4.733727180036019e-05,0.02002012625069128,0.027963726893377273,0.1926420623470916
mix00007,0.0016931767815013545,0.03419246748399308,0.00044875072270485374,8.45226271909622e-05,1.2076971418640998e-11,0.01752744378949636,0.9447585986411974,0.0012950399418391336
mix00008,0.006307545776254995,0.19347764128661615,0.00017831848647067818,0.008317856672027531,3.733627103652467e-21,0.05572681243553596,0.6853836026044624,0.0506082227386322
mix00009,0.00021680520457548305,0.09479091589322734,1.4437513103008379e-05,0.001375536865051505,3.0311319033880706e-06,0.01552368968942466,0.6182989274835978,0.2697766562191166
mix00010,0.00035402484092874427,0.16562370488002992,0.23002110068036258,0.587918747464933,9.93612078767569e-08,0.002942625308285332,0.013139695607164723,1.8570876335080325e-09
mix00011,0.2564243513385441,0.5676550937640317,0.0003912391164600789,0.0007921076868195925,1.8802598264418455e-07,5.254133476615031e-12,0.15663855091846732,0.018098469144440413
mix00012,0.019344554714719,0.5889622994665067,4.924471417236844e-07,0.09096046482307052,5.180650379182507e-18,0.10751676405581276,0.18788099832590052,0.005334426166848679
mix00013,0.0017545975390684794,0.9808495312576423,1.1489412635458766e-05,8.389822871144185e-05,3.693574225560075e-05,0.00010591538832921941,0.00017911035437487776,0.016978522076982683
mix00014,5.315154272864429e-13,0.9479525370906633,0.0006571838421962374,0.050960417608534495,0.00042919484927383006,6.422778098318289e-07,6.402415883451198e-14,2.433092652344162e-08
