sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.07030319954325745,0.8702726620932452,0.0428011887969121,0.0,0.0037825861594990504,0.004205827682138247,0.008634535724948019,0.0
mix00001,0.003061242624678866,0.6066127488004223,0.29125646174286596,0.08170709064631944,0.01352625827945638,0.0005634880224877196,0.0029228455271223938,0.0003498643566470032
mix00002,0.5627552609046875,0.024276728276205358,0.011609383809845126,0.0016888148758636217,0.02539320060114725,0.005010472071453293,0.1678123777850013,0.20145376167579657
mix00003,0.05721566979132673,0.4650454176761026,0.4512644842515473,0.0,0.004938076880991269,0.0040365899923068575,0.010691440869852522,0.006808320537872803
mix00004,0.2895013322284531,0.3843403747803777,0.00524993975286112,0.0004288505726932149,0.007711066875682532,0.09845887433533008,0.09786893087959316,0.11644063057500913
mix00005,0.39485500735581547,0.590468931755331,0.0024834971295612388,0.0006643073428222828,0.0011822667236287248,0.009134452682218918,0.0012115370106225041,0.0
mix00006,0.4973559720906465,0.42560298110455447,0.006438749393243924,0.0034357377584605994,0.002909368200115254,0.01506010456568107,0.015629271501646624,0.033567815385651595
mix00007,0.11406580894071967,0.060380260863231096,0.0,0.0010107266744998381,0.001597183266763744,0.009258323762959342,0.8136876964918264,0.0
mix00008,0.30027813489266003,0.1359536461189729,0.01663605512465427,0.008403728837697256,0.005230415717506205,0.027420762386504382,0.4920266702800425,0.014050586641962478
mix00009,0.3069747730436512,0.10720385225640992,0.01619381836738628,0.006228931170475779,0.00489583240893334,0.007920893213311252,0.4240045218495091,0.1265773776903231
mix00010,0.03657180826438573,0.11551240415300197,0.627097438372047,0.19802601231182493,0.004999389907656425,0.0,0.017792946991083795,0.0
mix00011,0.47788518682246234,0.40116041121974993,0.004364740449656335,0.005726560400517696,0.015197892863741808,0.006915282595434818,0.08874992564843703,0.0
mix00012,0.2118374034028301,0.49680428468124715,0.055550388932250006,0.04416519743615408,0.001382682716916881,0.03853525364978869,0.15172478918081309,0.0
mix00013,0.16037421830312745,0.825606876716882,0.0009940235972379003,3.1569652464890956e-05,0.0007409110317315519,0.004460588053352125,0.0008633037270907544,0.00692850891811313
mix00014,0.007457948585844122,0.8749210175354448,0.012247344429480871,0.09316421212147803,0.0072773689127870805,0.0,0.0023299263242523424,0.002602182090712732
mix00015,0.11991463782603773,0.11017888230462111,0.17436081132058945,0.14731169175134903,0.010468298140723413,0.0,0.4377656786566793,0.0
mix00016,0.42856106874067945,0.25261860838179395,0.04258668745089474,0.0,0.011338484311279732,0.03349068246372532,0.23140446865162692,0.0
mix00017,0.08514265099808373,0.6485738142390668,0.1839054415213598,0.0,0.004310639965223204,0.004971511048957671,0.07309594222730874,0.0
mix00018,0.019796728544365275,0.004058556823665372,0.9722035836482638,0.0,0.0014183052385528922,0.0016034799587438366,3.171035877587313e-05,0.0008876354276327528
mix00019,0.15867993422579912,0.26994809090860816,0.0011384879271893905,0.0,0.005403595633710107,0.018045555449801392,0.3977959864107186,0.14898834944417333
mix00020,0.0022597738185302653,0.34606582312946654,0.3597365563895511,0.18825396564760066,0.10002371570687583,0.0,0.0034095338057122397,0.0002506315022634665
mix00021,0.001517680756641396,0.21122799193700584,0.5027109733660775,0.2744645895090593,0.007784956860407728,0.0,0.0020361449501821124,0.0002576626206262935
mix00022,0.3561276937172378,0.28551173860863893,0.028044601702848563,0.0,0.0050673956109298715,0.009727709287619311,0.2899851208596913,0.025535740213034015
mix00023,0.10919699771442411,0.02839487064650612,0.22653926834114946,0.12259080883695282,0.0015219154969243593,0.03723107032208941,0.47452506864195365,0.0
mix00024,0.45220021344351596,0.34511065794782136,0.024019096055535174,0.0028233471510801487,0.014591829886366937,0.05727971039018618,0.08929462365542928,0.014680521470064866
mix00025,0.10357866629151237,0.19857217358924115,0.12280164906121704,0.2039368189155674,0.007512181313690254,0.002504768055926891,0.36109374277284484,0.0
mix00026,0.19943212800380608,0.37750557641543114,0.0401123640463833,0.0015668918836725916,0.017854127569208258,0.004473804446993623,0.3590551076345049,0.0
mix00027,0.3052293588029395,0.6687609503720078,0.0020508485266005263,0.00048721901807470525,0.0009768206304734803,0.007195430724318152,0.004634372196790175,0.01066499972879561
mix00028,0.3561448136811895,0.3880497256493725,0.006452430076061282,0.09038751506231191,0.01316918480563838,0.009658178439771157,0.12215434794489631,0.013983804340758821
mix00029,0.36906596389002166,0.018905218228102576,0.1105520729639207,0.003331949671054786,0.004213360112612467,0.003602191524274444,0.4646266473199874,0.02570259629002606
mix00030,0.3734261319865633,0.22554668101624403,0.0012863990189773216,0.006846641886903847,0.01497671917692168,0.0037124858813227567,0.37420494103306706,0.0
mix00031,0.11932004793526292,0.24486029161934553,0.010781576240832218,0.004236366163423262,0.0010563398803073354,0.03918460964075777,0.5805607685200711,0.0
mix00032,0.4080159833933131,0.25869863829028994,0.013322880386223724,0.016461124118565897,0.005468814840593435,0.2047397161253046,0.08793175174881224,0.005361091096896982
mix00033,0.5717132376917243,0.2942776850508344,0.012290238823693948,0.01043253196007259,0.007730140371603468,0.007285064097786126,0.0666288398344699,0.02964226216981527
