sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.0009081693363311262,0.993331872552035,0.000959829121401535,0.0012082286684397248,0.000684945278274187,0.0007894628880856228,0.000701895841774799,0.0014155963136580662
mix00001,0.0006663273636447874,0.7819796363204632,0.025798445409055366,0.15774557665186262,0.004146050944281449,0.012067993277102137,0.01655073452614374,0.0010452355074467457
mix00002,0.13249857992108982,0.0020490716454183585,0.0035522727523436735,0.0789035747751998,0.0629478973457215,0.025415040968344276,0.26602616122575545,0.42860740136612696
mix00003,0.0010213324735538036,0.6782860681801071,0.12614437821890667,0.18690642549947867,0.0009764480108486785,0.001439914834678393,0.0012808590061164414,0.003944573776310147
mix00004,0.003783370800175615,0.380438870358764,0.0011744753584561664,0.0007907316181036593,0.0015161901010003055,0.32954832434745257,0.11699424191116514,0.16575379550488262
mix00005,0.1128745884957754,0.6529392717804104,0.004198549516509945,0.003304728581733384,0.0019006815593853937,0.01468334480517248,0.03847481558705558,0.17162401967395738
mix00006,0.19811041899146933,0.541349000880049,0.0013373030070385269,0.0014559541896874335,0.0013545104403395929,0.023231721650249466,0.027840426844410657,0.205320663996756
mix00007,0.0011336175727259992,0.03293281283197983,0.0009281991331058316,0.0012325866921282643,0.000656009588374209,0.01741536301009594,0.9435202454930887,0.0021811656785012505
mix00008,0.020002301983121154,0.18766486156537396,0.002244526190397434,0.008626923383375694,0.0006917826896929714,0.05253325622321464,0.6800946254482757,0.04814172251654857
mix00009,0.0012981066868345626,0.09389956154085446,0.0007194900356818523,0.0010341446526943186,0.0007086754469134297,0.014805254073458245,0.6199909751096567,0.2675437924539064
mix00010,0.0008649844134248789,0.1635689272200426,0.24869231316491183,0.5735731189100544,0.0012960424339240443,0.0017809584455207345,0.009357959921375322,0.0008656954907462523
mix00011,0.23746749312215915,0.5654970251130487,0.0009451577896948125,0.0011726277201003106,0.001448893074176241,0.014076845488607851,0.153396921729644,0.025995035962568927
mix00012,0.027465767656295093,0.5802791294814428,0.0020288932143690194,0.08970001105083741,0.0010316583876199387,0.10656277219984493,0.18555118349131328,0.007380584518277727
mix00013,0.005796694440676119,0.9696828547275889,0.0007873081191252457,0.0009264115673582843,0.0007989158856125516,0.0018334817929708648,0.002142504262984087,0.018031829203683798
mix00014,0.0005404983760763444,0.9470478015062147,0.0007696556453670155,0.04965846656019296,0.0004596423822598095,0.0004220807309185429,0.0005868901103620081,0.0005149646886086659
mix00015,0.0015950179351487477,0.14149590095711534,0.019754173249289398,0.18560781424883677,0.2379963224591357,0.001231004154641966,0.4009755535582058,0.011344213437626198
mix00016,0.13085160918460068,0.31424060730944436,0.01711442134661427,0.006177740347065157,0.0011601437831721133,0.08860309472410938,0.3997596562031776,0.042092727101816434
mix00017,0.0008056011200552971,0.7282774364148887,0.13927570470409756,0.04646076769094347,0.0005690872139867909,0.0007086822210825599,0.08110090988276293,0.002801810752182618
mix00018,0.0014657482249112684,0.0007106478049813987,0.5872002088320567,0.31017955639172956,0.0007051259712150416,0.0006038190967954183,0.0013432995056968824,0.0977915941726137
mix00019,0.001190595473058875,0.26781431135751443,0.0008971907775603466,0.000650958593347378,0.001036120815016251,0.04305049958925186,0.49065484551243743,0.19470547788181342
mix00020,0.000648144132436685,0.3609232331695916,0.011717985217967429,0.3705445942581732,0.25275716181731384,0.0010969229140277935,0.0016532870505577128,0.0006586714399316358
mix00021,0.0008445886503651996,0.3889340370760557,0.058470261697922035,0.5206113522565584,0.00603240915047897,0.008954411432898017,0.014918012177547315,0.0012349275581743351
