project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_volume	analytes.concentration	analytes.dna_integrity_number	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_18s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-LGG	d61b5d20-4d6d-4fdc-afe8-4b100b686eda	TCGA-DU-7013	6893f38b-0210-46fe-9a52-6bc29f32407e	TCGA-DU-7013-10A	ea2ecc3d-731b-45fd-a912-8ed95c49affa	TCGA-DU-7013-10A-01	'--	'--	7c177f95-281f-44a3-b6b2-c09ad4529ba7	'--	DNA	'--	0.14	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DU-7013-10A-01D	'--
TCGA-LGG	d61b5d20-4d6d-4fdc-afe8-4b100b686eda	TCGA-DU-7013	6893f38b-0210-46fe-9a52-6bc29f32407e	TCGA-DU-7013-10A	ea2ecc3d-731b-45fd-a912-8ed95c49affa	TCGA-DU-7013-10A-01	'--	'--	8f09e496-cf91-4879-b1b3-e44eea5bb411	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	PicoGreen	released	TCGA-DU-7013-10A-01W	'--
TCGA-LGG	fc222f23-b3b2-4ac0-bc61-e8e8fa5cc160	TCGA-CS-4941	4e5aee62-df39-4a74-917c-c3ab154f8d0e	TCGA-CS-4941-01A	9aafbe14-6fac-4c61-a679-8a8ee2e3b46c	TCGA-CS-4941-01A-01	'--	'--	09881ebf-721d-4f4e-8cfd-432241d10e87	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-CS-4941-01A-01W	'--
TCGA-LGG	fc222f23-b3b2-4ac0-bc61-e8e8fa5cc160	TCGA-CS-4941	4e5aee62-df39-4a74-917c-c3ab154f8d0e	TCGA-CS-4941-01A	9aafbe14-6fac-4c61-a679-8a8ee2e3b46c	TCGA-CS-4941-01A-01	1.8	'--	bee59212-7b01-44ff-aaa5-a7c5e948e4ef	'--	RNA	'--	0.15	'--	mirVana (Allprep DNA) RNA	Yes	2.29	7.9	UV Spec	released	TCGA-CS-4941-01A-01R	'--
TCGA-LGG	fc222f23-b3b2-4ac0-bc61-e8e8fa5cc160	TCGA-CS-4941	4e5aee62-df39-4a74-917c-c3ab154f8d0e	TCGA-CS-4941-01A	9aafbe14-6fac-4c61-a679-8a8ee2e3b46c	TCGA-CS-4941-01A-01	1.9	'--	f1475dc1-b44a-438c-884d-b88a1bd2bbc9	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-CS-4941-01A-01D	'--
TCGA-LGG	fc222f23-b3b2-4ac0-bc61-e8e8fa5cc160	TCGA-CS-4941	fc331aa4-2641-4a1f-9aa2-64c8829438e0	TCGA-CS-4941-10A	c25e7c98-0f8a-4d68-b61e-12f081c7604d	TCGA-CS-4941-10A-01	'--	'--	8983b235-95e1-420b-a96c-fafa568760e5	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-CS-4941-10A-01W	'--
TCGA-LGG	fc222f23-b3b2-4ac0-bc61-e8e8fa5cc160	TCGA-CS-4941	fc331aa4-2641-4a1f-9aa2-64c8829438e0	TCGA-CS-4941-10A	c25e7c98-0f8a-4d68-b61e-12f081c7604d	TCGA-CS-4941-10A-01	1.9	'--	b6dbd3f5-c9d7-4c25-a9a5-430120750934	'--	DNA	'--	0.15	'--	Chemical Lysis DNA Extraction	Yes	'--	'--	UV Spec	released	TCGA-CS-4941-10A-01D	'--
TCGA-LGG	b37abdc8-b9e3-4f1a-b16d-2e59442db335	TCGA-DH-A7UR	3f4d540a-5d6d-4c80-bc3f-32a679bd1302	TCGA-DH-A7UR-01A	eb410df8-24a4-411d-944f-6f542912f09a	TCGA-DH-A7UR-01A-11	'--	'--	3b226fc5-cdba-4883-bf90-fb04f8e49b29	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DH-A7UR-01A-11W	'--
TCGA-LGG	b37abdc8-b9e3-4f1a-b16d-2e59442db335	TCGA-DH-A7UR	3f4d540a-5d6d-4c80-bc3f-32a679bd1302	TCGA-DH-A7UR-01A	eb410df8-24a4-411d-944f-6f542912f09a	TCGA-DH-A7UR-01A-11	2.24	'--	b23dc976-0092-486a-af43-6f0f8bdf032a	'--	RNA	'--	0.18	'--	mirVana (Allprep DNA) RNA	Yes	1.28	7.2	UV Spec	released	TCGA-DH-A7UR-01A-11R	'--
TCGA-LGG	b37abdc8-b9e3-4f1a-b16d-2e59442db335	TCGA-DH-A7UR	3f4d540a-5d6d-4c80-bc3f-32a679bd1302	TCGA-DH-A7UR-01A	eb410df8-24a4-411d-944f-6f542912f09a	TCGA-DH-A7UR-01A-11	'--	'--	c7e33989-b69b-4a14-8a13-f1abb3b267a9	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-DH-A7UR-01A-11D	'--
TCGA-LGG	b37abdc8-b9e3-4f1a-b16d-2e59442db335	TCGA-DH-A7UR	8b223174-910e-4ce6-9ff1-406cb4db239f	TCGA-DH-A7UR-10A	864c010d-820f-42e7-a7cc-2b43bb1ea6c2	TCGA-DH-A7UR-10A-01	'--	'--	c735c7bc-5383-4685-9a5b-9824210382a9	'--	DNA	'--	0.17	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DH-A7UR-10A-01D	'--
TCGA-LGG	b37abdc8-b9e3-4f1a-b16d-2e59442db335	TCGA-DH-A7UR	8b223174-910e-4ce6-9ff1-406cb4db239f	TCGA-DH-A7UR-10A	864c010d-820f-42e7-a7cc-2b43bb1ea6c2	TCGA-DH-A7UR-10A-01	'--	'--	e68a3155-78e8-42d1-b028-6a42924fb72d	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DH-A7UR-10A-01W	'--
TCGA-LGG	15a6ad18-a81c-4f5b-80ae-ef56ccf722f9	TCGA-DB-5281	7473156a-af0d-4ac9-a27b-aa4f6b179dcd	TCGA-DB-5281-10A	7a4a0235-05c3-4880-83fe-b1966c929742	TCGA-DB-5281-10A-01	'--	'--	302c0c8c-72b8-4430-aed1-cd2748137020	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-DB-5281-10A-01W	'--
TCGA-LGG	15a6ad18-a81c-4f5b-80ae-ef56ccf722f9	TCGA-DB-5281	7473156a-af0d-4ac9-a27b-aa4f6b179dcd	TCGA-DB-5281-10A	7a4a0235-05c3-4880-83fe-b1966c929742	TCGA-DB-5281-10A-01	1.9	'--	a3a59c2a-9027-45b7-81a7-9a03e9d37a94	'--	DNA	'--	0.13	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	TCGA-DB-5281-10A-01D	'--
TCGA-LGG	15a6ad18-a81c-4f5b-80ae-ef56ccf722f9	TCGA-DB-5281	eec06bbb-c917-4a8e-bab1-7c584bb15377	TCGA-DB-5281-01A	cc5fd9bb-0c0b-490e-a2ab-21cb01bc1e78	TCGA-DB-5281-01A-01	1.9	'--	073d8773-149e-4bc4-aed6-3b5881369773	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-DB-5281-01A-01D	'--
TCGA-LGG	15a6ad18-a81c-4f5b-80ae-ef56ccf722f9	TCGA-DB-5281	eec06bbb-c917-4a8e-bab1-7c584bb15377	TCGA-DB-5281-01A	cc5fd9bb-0c0b-490e-a2ab-21cb01bc1e78	TCGA-DB-5281-01A-01	1.7	'--	d0168014-cb81-4b85-9e9c-53d66b5f242e	'--	RNA	'--	0.15	'--	mirVana (Allprep DNA) RNA	Yes	1.7	8.9	UV Spec	released	TCGA-DB-5281-01A-01R	'--
TCGA-LGG	15a6ad18-a81c-4f5b-80ae-ef56ccf722f9	TCGA-DB-5281	eec06bbb-c917-4a8e-bab1-7c584bb15377	TCGA-DB-5281-01A	cc5fd9bb-0c0b-490e-a2ab-21cb01bc1e78	TCGA-DB-5281-01A-01	'--	'--	dd51668a-3072-4641-bf44-8c00d2f65e84	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-DB-5281-01A-01W	'--
TCGA-LGG	2e3b9f32-304e-454b-ac2c-fc72d2ccaa19	TCGA-P5-A5F6	f1b6aca2-82e8-4e76-8cee-5feb0e7fedc3	TCGA-P5-A5F6-10A	bd86c9db-c7ae-4efd-864c-5e7f1701b08e	TCGA-P5-A5F6-10A-01	'--	'--	369192e8-710b-4d56-8584-f93e9f5f771c	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-P5-A5F6-10A-01W	'--
TCGA-LGG	2e3b9f32-304e-454b-ac2c-fc72d2ccaa19	TCGA-P5-A5F6	f1b6aca2-82e8-4e76-8cee-5feb0e7fedc3	TCGA-P5-A5F6-10A	bd86c9db-c7ae-4efd-864c-5e7f1701b08e	TCGA-P5-A5F6-10A-01	'--	'--	6a7f8b16-6e4d-4129-ab65-2e9334070935	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-P5-A5F6-10A-01D	'--
TCGA-LGG	2e3b9f32-304e-454b-ac2c-fc72d2ccaa19	TCGA-P5-A5F6	f9e84d1f-da02-45f9-a26d-e95a32dcc252	TCGA-P5-A5F6-01A	fc598167-3440-4f2f-a161-9b5bbb230dec	TCGA-P5-A5F6-01A-11	'--	'--	1911e40a-3c9e-40b7-bcc3-1d4479d40b14	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-P5-A5F6-01A-11W	'--
TCGA-LGG	2e3b9f32-304e-454b-ac2c-fc72d2ccaa19	TCGA-P5-A5F6	f9e84d1f-da02-45f9-a26d-e95a32dcc252	TCGA-P5-A5F6-01A	fc598167-3440-4f2f-a161-9b5bbb230dec	TCGA-P5-A5F6-01A-11	'--	'--	80a075c3-b522-4bd5-a97c-f6b0e3b97484	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-P5-A5F6-01A-11D	'--
TCGA-LGG	2e3b9f32-304e-454b-ac2c-fc72d2ccaa19	TCGA-P5-A5F6	f9e84d1f-da02-45f9-a26d-e95a32dcc252	TCGA-P5-A5F6-01A	fc598167-3440-4f2f-a161-9b5bbb230dec	TCGA-P5-A5F6-01A-11	1.91	'--	a335794d-39ff-4452-8f30-9ab16f6bf768	'--	RNA	'--	0.18	'--	mirVana (Allprep DNA) RNA	Yes	1.4	9.1	UV Spec	released	TCGA-P5-A5F6-01A-11R	'--
TCGA-LGG	cf29547a-305b-4e6e-8342-36aac0850065	TCGA-QH-A6CX	34c3c3cf-4fa9-480d-9a9d-2b941078ef09	TCGA-QH-A6CX-10A	ac38947f-521f-4ddf-926b-d3e941c63b66	TCGA-QH-A6CX-10A-01	'--	'--	17d8c664-5e1f-4858-a528-236f24321983	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-QH-A6CX-10A-01W	'--
TCGA-LGG	cf29547a-305b-4e6e-8342-36aac0850065	TCGA-QH-A6CX	34c3c3cf-4fa9-480d-9a9d-2b941078ef09	TCGA-QH-A6CX-10A	ac38947f-521f-4ddf-926b-d3e941c63b66	TCGA-QH-A6CX-10A-01	'--	'--	a6710fbc-e255-42f0-a1fd-2595b15f0bd1	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-QH-A6CX-10A-01D	'--
TCGA-LGG	cf29547a-305b-4e6e-8342-36aac0850065	TCGA-QH-A6CX	6297f224-7379-4fcd-86f7-0a2410ea5cd1	TCGA-QH-A6CX-01A	66ba8a23-c5e8-4dc1-998d-5ad02186651e	TCGA-QH-A6CX-01A-11	'--	'--	15051e57-149f-4503-bfff-d0835d8a7014	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-QH-A6CX-01A-11W	'--
TCGA-LGG	cf29547a-305b-4e6e-8342-36aac0850065	TCGA-QH-A6CX	6297f224-7379-4fcd-86f7-0a2410ea5cd1	TCGA-QH-A6CX-01A	66ba8a23-c5e8-4dc1-998d-5ad02186651e	TCGA-QH-A6CX-01A-11	'--	'--	36976bc6-c488-4e77-826f-c4921dc79b66	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-QH-A6CX-01A-11D	'--
TCGA-LGG	cf29547a-305b-4e6e-8342-36aac0850065	TCGA-QH-A6CX	6297f224-7379-4fcd-86f7-0a2410ea5cd1	TCGA-QH-A6CX-01A	66ba8a23-c5e8-4dc1-998d-5ad02186651e	TCGA-QH-A6CX-01A-11	1.88	'--	89305792-a70a-445d-b068-8dbc6cbf4e8e	'--	RNA	'--	0.16	'--	mirVana (Allprep DNA) RNA	Yes	1.33	7.0	UV Spec	released	TCGA-QH-A6CX-01A-11R	'--
TCGA-LGG	648252da-dd86-48d1-ae75-4257e3142b0b	TCGA-FG-5964	7bbfbdd1-4cb9-479c-8152-924d79e112f2	TCGA-FG-5964-01A	814a7cfe-a5c8-481e-9076-9666659bd90b	TCGA-FG-5964-01A-11	'--	'--	07ee63f4-537e-4125-8410-9342170a3be9	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-FG-5964-01A-11W	'--
TCGA-LGG	648252da-dd86-48d1-ae75-4257e3142b0b	TCGA-FG-5964	7bbfbdd1-4cb9-479c-8152-924d79e112f2	TCGA-FG-5964-01A	814a7cfe-a5c8-481e-9076-9666659bd90b	TCGA-FG-5964-01A-11	1.9	'--	1ff1e45f-c809-4197-a246-ee09b0c40497	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-FG-5964-01A-11D	'--
TCGA-LGG	648252da-dd86-48d1-ae75-4257e3142b0b	TCGA-FG-5964	7bbfbdd1-4cb9-479c-8152-924d79e112f2	TCGA-FG-5964-01A	814a7cfe-a5c8-481e-9076-9666659bd90b	TCGA-FG-5964-01A-11	1.7	'--	f6b328a3-8114-48b0-ade5-50c1d37d75a3	'--	RNA	'--	0.13	'--	mirVana (Allprep DNA) RNA	Yes	1.06	7.1	UV Spec	released	TCGA-FG-5964-01A-11R	'--
TCGA-LGG	648252da-dd86-48d1-ae75-4257e3142b0b	TCGA-FG-5964	9bf6fb6a-1873-44c8-8baf-225fec4aeb24	TCGA-FG-5964-10A	d0549d5e-5a63-4057-8c12-716b5f4dff5d	TCGA-FG-5964-10A-01	'--	'--	5e93800e-a8d0-4ac6-9045-0b05f4c98ba5	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-FG-5964-10A-01W	'--
TCGA-LGG	648252da-dd86-48d1-ae75-4257e3142b0b	TCGA-FG-5964	9bf6fb6a-1873-44c8-8baf-225fec4aeb24	TCGA-FG-5964-10A	d0549d5e-5a63-4057-8c12-716b5f4dff5d	TCGA-FG-5964-10A-01	1.8	'--	7aab9bc0-a2f0-459e-a159-9057339fa1cb	'--	DNA	'--	0.16	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	TCGA-FG-5964-10A-01D	'--
TCGA-LGG	dd85dbb2-31c3-4bc2-9dff-3bd27c79a9ad	TCGA-S9-A6UB	19a6c33d-53ad-450d-b081-c0994f14db15	TCGA-S9-A6UB-10A	fe95094c-ace1-4abd-9893-d97f5d272919	TCGA-S9-A6UB-10A-01	'--	'--	4f14a015-5fbc-4f84-ab7f-539939aa180a	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-S9-A6UB-10A-01W	'--
TCGA-LGG	dd85dbb2-31c3-4bc2-9dff-3bd27c79a9ad	TCGA-S9-A6UB	19a6c33d-53ad-450d-b081-c0994f14db15	TCGA-S9-A6UB-10A	fe95094c-ace1-4abd-9893-d97f5d272919	TCGA-S9-A6UB-10A-01	'--	'--	e33b93af-4055-44fd-873c-206cd3382541	'--	DNA	'--	0.15	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-S9-A6UB-10A-01D	'--
TCGA-LGG	dd85dbb2-31c3-4bc2-9dff-3bd27c79a9ad	TCGA-S9-A6UB	5fbacd23-d8b1-4ab0-a612-55d30123064f	TCGA-S9-A6UB-01A	775e01ea-e1a7-4759-a160-14ab15281f02	TCGA-S9-A6UB-01A-21	'--	'--	1696d1bc-8516-4a3d-a8d1-05d7531216e4	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-S9-A6UB-01A-21W	'--
TCGA-LGG	dd85dbb2-31c3-4bc2-9dff-3bd27c79a9ad	TCGA-S9-A6UB	5fbacd23-d8b1-4ab0-a612-55d30123064f	TCGA-S9-A6UB-01A	775e01ea-e1a7-4759-a160-14ab15281f02	TCGA-S9-A6UB-01A-21	'--	'--	82af2c41-1c6b-4824-a069-2436c1d56fbf	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-S9-A6UB-01A-21D	'--
TCGA-LGG	dd85dbb2-31c3-4bc2-9dff-3bd27c79a9ad	TCGA-S9-A6UB	5fbacd23-d8b1-4ab0-a612-55d30123064f	TCGA-S9-A6UB-01A	775e01ea-e1a7-4759-a160-14ab15281f02	TCGA-S9-A6UB-01A-21	1.92	'--	c0fd57e6-44d1-45f4-a1e6-456cfdcedb8c	'--	RNA	'--	0.17	'--	mirVana (Allprep DNA) RNA	Yes	1.46	8.7	UV Spec	released	TCGA-S9-A6UB-01A-21R	'--
TCGA-LGG	a6975eb0-cfa6-4b7a-bbe4-72bbdd3d3b6f	TCGA-S9-A7R7	070446b7-2054-4590-8497-27ed081b3c46	TCGA-S9-A7R7-10A	97f9bf54-7331-460c-afd2-ef80a8b26c0d	TCGA-S9-A7R7-10A-01	'--	'--	56442cf9-767b-4b3b-b488-a358c704ccd8	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-S9-A7R7-10A-01W	'--
TCGA-LGG	a6975eb0-cfa6-4b7a-bbe4-72bbdd3d3b6f	TCGA-S9-A7R7	070446b7-2054-4590-8497-27ed081b3c46	TCGA-S9-A7R7-10A	97f9bf54-7331-460c-afd2-ef80a8b26c0d	TCGA-S9-A7R7-10A-01	'--	'--	bc85fe0d-b502-4594-9a21-e5994f520a3e	'--	DNA	'--	0.15	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-S9-A7R7-10A-01D	'--
TCGA-LGG	a6975eb0-cfa6-4b7a-bbe4-72bbdd3d3b6f	TCGA-S9-A7R7	26d2fd1f-6e53-4bb2-85c7-31557792df6e	TCGA-S9-A7R7-01A	7b2ea64e-0524-4430-8920-f1eb0f4bf8a2	TCGA-S9-A7R7-01A-11	'--	'--	34c78a7a-2409-45ac-a9f9-7abb557dabe4	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-S9-A7R7-01A-11D	'--
TCGA-LGG	a6975eb0-cfa6-4b7a-bbe4-72bbdd3d3b6f	TCGA-S9-A7R7	26d2fd1f-6e53-4bb2-85c7-31557792df6e	TCGA-S9-A7R7-01A	7b2ea64e-0524-4430-8920-f1eb0f4bf8a2	TCGA-S9-A7R7-01A-11	1.88	'--	430db0b2-76ed-4420-b277-78009b345fc6	'--	RNA	'--	0.17	'--	mirVana (Allprep DNA) RNA	Yes	1.5	9.0	UV Spec	released	TCGA-S9-A7R7-01A-11R	'--
TCGA-LGG	a6975eb0-cfa6-4b7a-bbe4-72bbdd3d3b6f	TCGA-S9-A7R7	26d2fd1f-6e53-4bb2-85c7-31557792df6e	TCGA-S9-A7R7-01A	7b2ea64e-0524-4430-8920-f1eb0f4bf8a2	TCGA-S9-A7R7-01A-11	'--	'--	91071b26-14b5-4527-8c78-c4d2381a3f42	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-S9-A7R7-01A-11W	'--
TCGA-LGG	effb5839-24a2-4b8c-8b6d-08cb66503d16	TCGA-HT-A61A	597d8468-5b0d-4718-9183-04621bc5285e	TCGA-HT-A61A-01A	16b013c8-b49f-4fc4-8438-281a1bd3d8ad	TCGA-HT-A61A-01A-11	'--	'--	1ed7b3cc-6288-451c-b862-442b0e24742c	'--	DNA	'--	0.17	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-HT-A61A-01A-11D	'--
TCGA-LGG	effb5839-24a2-4b8c-8b6d-08cb66503d16	TCGA-HT-A61A	597d8468-5b0d-4718-9183-04621bc5285e	TCGA-HT-A61A-01A	16b013c8-b49f-4fc4-8438-281a1bd3d8ad	TCGA-HT-A61A-01A-11	1.94	'--	2d6e64f8-47cf-4282-84f1-5c1fbb60d1f1	'--	RNA	'--	0.18	'--	mirVana (Allprep DNA) RNA	Yes	1.67	8.2	UV Spec	released	TCGA-HT-A61A-01A-11R	'--
TCGA-LGG	effb5839-24a2-4b8c-8b6d-08cb66503d16	TCGA-HT-A61A	597d8468-5b0d-4718-9183-04621bc5285e	TCGA-HT-A61A-01A	16b013c8-b49f-4fc4-8438-281a1bd3d8ad	TCGA-HT-A61A-01A-11	'--	'--	e0b06037-20cb-4c7a-baa5-9bf104aebfd9	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-HT-A61A-01A-11W	'--
TCGA-LGG	effb5839-24a2-4b8c-8b6d-08cb66503d16	TCGA-HT-A61A	c5875280-dc8c-4a1d-b69e-89d07d349f2a	TCGA-HT-A61A-10A	b5685e44-01e8-4cfb-9016-60ba80a77514	TCGA-HT-A61A-10A-01	'--	'--	466ea635-372c-4791-9675-d0e674b3c332	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-HT-A61A-10A-01W	'--
TCGA-LGG	effb5839-24a2-4b8c-8b6d-08cb66503d16	TCGA-HT-A61A	c5875280-dc8c-4a1d-b69e-89d07d349f2a	TCGA-HT-A61A-10A	b5685e44-01e8-4cfb-9016-60ba80a77514	TCGA-HT-A61A-10A-01	'--	'--	5abb2aea-bc73-4917-8fbc-03782a26a541	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-HT-A61A-10A-01D	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	65d05a38-f697-4d13-8a8b-61c76e90a716	TCGA-P5-A5ET-10A	f75f973d-283c-411c-b80a-cb6d9f26c98d	TCGA-P5-A5ET-10A-01	'--	'--	0cde832f-a5fa-4035-a1fe-34dcf6f6e1e1	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-P5-A5ET-10A-01D	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	65d05a38-f697-4d13-8a8b-61c76e90a716	TCGA-P5-A5ET-10A	f75f973d-283c-411c-b80a-cb6d9f26c98d	TCGA-P5-A5ET-10A-01	'--	'--	c945d61c-5859-4208-aabd-2f7010c363f0	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-P5-A5ET-10A-01W	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	d6725a25-19cd-49c3-96ba-a3fe3299ad0d	TCGA-P5-A5ET-01A	2cd9cdf1-7615-4641-b65f-18cdf098ab0b	TCGA-P5-A5ET-01A-11	'--	'--	0cfcb883-2fc7-405c-b111-b3b82480e43c	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-P5-A5ET-01A-11D	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	d6725a25-19cd-49c3-96ba-a3fe3299ad0d	TCGA-P5-A5ET-01A	2cd9cdf1-7615-4641-b65f-18cdf098ab0b	TCGA-P5-A5ET-01A-11	'--	'--	18cba117-5d64-4e16-ba72-8da52c271163	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-P5-A5ET-01A-11W	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	d6725a25-19cd-49c3-96ba-a3fe3299ad0d	TCGA-P5-A5ET-01A	2cd9cdf1-7615-4641-b65f-18cdf098ab0b	TCGA-P5-A5ET-01A-11	1.84	'--	facc315d-fd9c-4d2c-9b15-578b91e1aa91	'--	RNA	'--	0.18	'--	mirVana (Allprep DNA) RNA	Yes	1.6	7.8	UV Spec	released	TCGA-P5-A5ET-01A-11R	'--
TCGA-LGG	36615695-921c-4c8a-93d6-6c788079beae	TCGA-RY-A845	1b7bae2f-beeb-4956-8077-00d0c43e0425	TCGA-RY-A845-10A	27a1d8ab-0e8b-432b-98c2-49a7ba44269f	TCGA-RY-A845-10A-01	'--	'--	2c28c70c-a6d4-4b41-aa74-cdab9f1a0a7f	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-RY-A845-10A-01W	'--
TCGA-LGG	36615695-921c-4c8a-93d6-6c788079beae	TCGA-RY-A845	1b7bae2f-beeb-4956-8077-00d0c43e0425	TCGA-RY-A845-10A	27a1d8ab-0e8b-432b-98c2-49a7ba44269f	TCGA-RY-A845-10A-01	'--	'--	bf0f031a-8e12-497b-8ba6-8b62608e59ed	'--	DNA	'--	0.17	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-RY-A845-10A-01D	'--
TCGA-LGG	36615695-921c-4c8a-93d6-6c788079beae	TCGA-RY-A845	27b43551-4d86-4113-8fb0-3a20abed5a1a	TCGA-RY-A845-01A	949089fe-ba4f-4b36-a8c4-6452fb2d4f9f	TCGA-RY-A845-01A-11	'--	'--	38f250f4-a38d-4b2a-a9e4-a66ab0ec99ee	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-RY-A845-01A-11D	'--
TCGA-LGG	36615695-921c-4c8a-93d6-6c788079beae	TCGA-RY-A845	27b43551-4d86-4113-8fb0-3a20abed5a1a	TCGA-RY-A845-01A	949089fe-ba4f-4b36-a8c4-6452fb2d4f9f	TCGA-RY-A845-01A-11	'--	'--	816b2789-ebb6-48e8-aa19-0eb685dcbedb	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-RY-A845-01A-11W	'--
