method,acs,truth,yardstick,acs_rank,truth_rank,rank_gap
music,0.9692307692307692,0.0540657507529327,synthetic_mixtures,1.0,1.0,0.0
svr,0.9538461538461539,0.0690507470212715,synthetic_mixtures,2.0,2.0,0.0
cibersortx,0.8615384615384616,0.0693939399248094,synthetic_mixtures,6.0,3.0,3.0
dwls,0.7230769230769231,0.0756826129156533,synthetic_mixtures,13.0,4.0,9.0
nnls,0.8461538461538461,0.0787512006576523,synthetic_mixtures,8.0,5.0,3.0
scdc,0.9384615384615385,0.0810499122290555,synthetic_mixtures,3.5,6.5,3.0
scdc_ensemble,0.9384615384615385,0.0810499122290555,synthetic_mixtures,3.5,6.5,3.0
bayesprism,0.8,0.0814781817564607,synthetic_mixtures,9.0,8.0,1.0
elastic_net,0.8615384615384616,0.0817296867618955,synthetic_mixtures,6.0,9.0,3.0
cibersortx_smode,0.8615384615384616,0.0839094849018049,synthetic_mixtures,6.0,10.0,4.0
bisque,0.7076923076923077,0.086280967571382,synthetic_mixtures,14.0,11.0,3.0
epic,0.7692307692307693,0.1045682891306437,synthetic_mixtures,10.0,12.0,2.0
bayesian,0.7538461538461538,0.1088737035060586,synthetic_mixtures,11.0,13.0,2.0
bayesian_hierarchical,0.7384615384615385,0.1097781227508088,synthetic_mixtures,12.0,14.0,2.0
nnls,0.8461538461538461,0.4271,absolute_purity,7.0,7.5,0.5
svr,0.9538461538461539,0.7184,absolute_purity,2.0,11.0,9.0
cibersortx,0.8615384615384616,0.7078,absolute_purity,5.5,10.0,4.5
elastic_net,0.8615384615384616,0.3998,absolute_purity,5.5,6.0,0.5
bayesian,0.7538461538461538,0.7421,absolute_purity,10.0,12.0,2.0
music,0.9692307692307692,0.4271,absolute_purity,1.0,7.5,6.5
dwls,0.7230769230769231,0.6865,absolute_purity,11.0,9.0,2.0
bisque,0.7076923076923077,0.0284,absolute_purity,12.0,1.0,11.0
scdc,0.9384615384615385,0.2889,absolute_purity,3.5,2.5,1.0
scdc_ensemble,0.9384615384615385,0.2889,absolute_purity,3.5,2.5,1.0
epic,0.7692307692307693,0.3732,absolute_purity,9.0,5.0,4.0
bayesprism,0.8,0.3496,absolute_purity,8.0,4.0,4.0
