"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"TCGA-E1-5319-01",0.0788234743459503,0.189798405035609,0.226478030074017,0,0.345283218313313,0,0.159616872231111
"TCGA-HT-7693-01",0.0665757717540057,0.218857638639421,0.288895651934614,0,0.261585618423546,0,0.164085319248413
"TCGA-CS-6665-01",0.0761114629191504,0.214445168744734,0.214952011086718,0,0.337537693418491,0,0.156953663830906
"TCGA-S9-A7J2-01",0.120404778296488,0.160927412180823,0.292580475576398,0,0.30152832841212,0,0.12455900553417
"TCGA-FG-A6J3-01",0.0877590420717261,0.226623346919802,0.151796034005616,0,0.375414765759306,0,0.15840681124355
"TCGA-FG-6688-01",0.0571707522459638,0.108138048117231,0.12952123006037,0,0.491176626352086,0,0.213993343224349
"TCGA-S9-A6TX-01",0.0752657631930078,0.0893850835771614,0.18744822252685,0,0.506061162967733,0,0.141839767735248
"TCGA-VM-A8C8-01",0.0726157589557182,0.113423453609003,0.15939343653231,0,0.44990698196975,0,0.204660368933219
"TCGA-HT-A74L-01",0.0569085063794805,0.27965904915966,0.495101792192844,0,0.129809717275239,0,0.0385209349927759
"TCGA-DU-A5TS-01",0.0484932275905765,0.000921425384197007,0.0789897877787159,0,0.520582851538017,0,0.351012707708493
"TCGA-DB-A4XA-01",0.0716724910982841,0.149931970288296,0.231201817753369,0,0.413822411765636,0,0.133371309094415
"TCGA-HT-A4DV-01",0.0205891003163891,0.169109639228481,0.172130400199224,0,0.424287731113032,0,0.213883129142874
"TCGA-TQ-A7RP-01",0.0663094151442508,0.131596522573831,0.0807751338440853,0,0.536752260476476,0,0.184566667961357
"TCGA-E1-5311-01",0.122726057044511,0.170617277781921,0.291898661322831,0,0.300347993122777,0,0.11441001072796
"TCGA-E1-A7YI-01",0.0444099078013016,0.146583675716194,0.0690676113376817,0.0378565007650222,0.521328174171182,0,0.180754130208619
"TCGA-E1-5305-01",0.114902221025567,0.0830659415375857,0.269350387074191,0,0.37431741148846,0,0.158364038874196
"TCGA-F6-A8O4-01",0.120637474427841,0.0590533691082226,0.266935346883109,0,0.385227431740658,0,0.16814637784017
"TCGA-HT-8113-01",0.0292904239599457,0.17849692126161,0.203053872166456,0,0.36855043504401,0,0.220608347567979
"TCGA-DH-A66G-01",0.0934545358300044,0.0754398899345424,0.201783695119515,0,0.456123907587078,0,0.17319797152886
"TCGA-HT-7620-01",0.0151696860686697,0.211658297806218,0.293860873252506,0,0.347621586750397,0,0.131689556122209
"TCGA-P5-A731-01",0.0801885028532791,0.194086966790768,0.206265119142173,0,0.419685636968068,0,0.0997737742457118
"TCGA-HT-7480-01",0.0977666429710969,0.181899230100415,0.349518828985133,0,0.280474855858959,0,0.0903404420843961
"TCGA-HT-7689-01",0.0421706161221435,0.100960323773426,0.200919752604052,0,0.420027949288423,0,0.235921358211955
"TCGA-HT-8109-01",0.0538724314180772,0.0722811962250753,0.123626277461825,0,0.524019182664257,0,0.226200912230766
"TCGA-E1-A7YE-01",0.0135276297700207,0.142020965257321,0.191912305239056,0,0.368480899662944,0,0.284058200070659
"TCGA-S9-A7R1-01",0.113792718557566,0.151178481690655,0.277172829556796,0,0.342083004684467,0,0.115772965510516
"TCGA-FG-A710-01",0.0484316387193603,0.223187012088589,0.303497142100892,0,0.298421242323762,0,0.126462964767396
"TCGA-S9-A7J0-01",0.147392208973033,0.21489023202179,0.315295878941424,0,0.212163853369337,0,0.110257826694416
"TCGA-DU-A6S6-01",0.0444803881272441,0.19962903772759,0.392908718582207,0,0.253689302838545,0,0.109292552724414
"TCGA-HT-7877-01",0.0984606218155397,0.164341427344575,0.311964751370464,0,0.3080914795057,0,0.117141719963721
"TCGA-QH-A6CU-01",0.0565962986163785,0.185252569740156,0.283558870419109,0,0.32283751407265,0,0.151754747151706
"TCGA-HW-7486-01",0.00479657613385855,0.180016252938685,0.224246220561174,0,0.397470329127724,0,0.193470621238558
"TCGA-FG-7634-01",0.0797242625407512,0.110903983158963,0.170753811706308,0,0.389879402083258,0,0.24873854051072
"TCGA-DU-8163-01",0.11690970500158,0.1147564188563,0.133975254264798,0,0.4686068765298,0,0.165751745347522
"TCGA-DU-6407-02",0.0415199514229845,0.10564209537156,0,0.0221531329270954,0.507127978635122,0,0.323556841643239
"TCGA-DU-6407-01",0.0463873417621557,0.128072947181099,0.255333500384371,0,0.398775240857982,0,0.171430969814393
