sample,absolute_purity,nnls,svr,cibersortx,elastic_net,bayesian,music,dwls,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-CS-4938-01B,0.79,0.9860815990591479,0.5980596967019479,0.6486536112335054,0.8565763873802841,0.027241441314387126,0.9860815990591482,0.8442600205487639,0.0,0.7371424840054696,0.7371424840054696,0.7890302894194787,1.0
TCGA-CS-4941-01A,0.62,0.9735241707176258,0.8194462118676461,0.644905523368155,0.8204406350306436,0.12215543193056365,0.9735241707176261,0.6659951664245746,0.560022806807719,0.5328188749018211,0.5328188749018211,0.905615195035072,0.9493751368947095
TCGA-CS-4942-01A,0.77,0.9167891345326857,0.6307587641285384,0.5316087130404148,0.7294043442382333,0.14192757082998597,0.9167891345326858,0.8044698990356393,0.0,0.668635984007879,0.668635984007879,0.6503383304717154,0.9935347055404326
TCGA-CS-4943-01A,0.9,0.928855480340471,0.7740751639107816,0.7167635920547824,0.9156220747494398,0.28276083533745777,0.9288554803404709,0.9174554982293254,0.02221751373806358,0.7154133622507565,0.7154133622507565,0.7024344717596607,0.986586080786537
TCGA-CS-4944-01A,0.74,0.9710064866394065,0.6359755017294049,0.5404114037178028,0.952694440851868,0.004182497917907948,0.9710064866394065,0.8633894186650134,0.9565656828420983,0.6604498193489182,0.6604498193489182,0.1875336203082296,1.0
TCGA-CS-5390-01A,0.86,0.8474507777499304,0.6921929332206275,0.6096557836983846,0.8133797354572513,0.2786459883826303,0.8474507777499305,0.8797566126492072,0.0,0.54408427963207,0.54408427963207,0.30090175109229567,0.9552342973385527
TCGA-CS-5393-01A,0.71,0.7966013768514415,0.6004279584623309,0.4998023536270262,0.21172951975920293,0.14332350713355022,0.7966013768514416,0.7550590652794356,0.0,0.654588414715654,0.654588414715654,0.18776225319533843,0.9253476189964396
TCGA-CS-5394-01A,0.9,0.8102297918567576,0.7994633172365407,0.8122308397797525,0.7731070814580274,0.3545275398026108,0.8102297918567575,0.931316460584741,0.0,0.40958098801182424,0.40958098801182424,0.48227698677277675,0.8979785210035084
TCGA-CS-5395-01A,0.81,0.8904233136229008,0.5508576810872993,0.5234697925048523,0.8126662701750581,0.07908997642797798,0.8904233136229008,0.7353495940180481,0.0,0.7840656741107354,0.7840656741107354,0.530249307991669,0.9787940198377166
TCGA-CS-5396-01A,0.89,0.9094983498060918,0.7183819397477519,0.7234566644383923,0.8924319270860452,0.24821539631186304,0.9094983498060918,0.8409120664192209,0.0,0.5913325565542626,0.5913325565542626,0.6001248092508561,0.9651832754861064
TCGA-CS-5397-01A,0.64,0.9484725102047694,0.6556610010511662,0.6561657525927019,0.8774795825041576,0.11669472151098412,0.9484725102047694,0.8523052178221457,0.5565150839395407,0.7250391592800959,0.7250391592800959,0.8102884767520131,0.995601122948193
TCGA-CS-6186-01A,0.89,0.8819349340458807,0.6119568861718551,0.5851832564151364,0.8506522439002605,0.05959483305825024,0.8819349340458809,0.5668531948676452,0.0,0.3226702727702091,0.3226702727702091,0.736069153015906,0.9278076465085691
TCGA-CS-6188-01A,0.68,0.9706463162373624,0.6512520719976705,0.654305419733399,0.950985719675606,0.05304166539922324,0.9706463162373624,0.7591986255509562,0.7520026119728377,0.5766831994059888,0.5766831994059888,0.7162955520895393,0.9969455909006674
TCGA-CS-6290-01A,0.69,0.9808269716528549,0.46660179944314223,0.45645483026817435,0.8002809751168187,0.019089943970409345,0.9808269716528549,0.5609000701058143,0.07900764601696386,0.5526439306395298,0.5526439306395298,0.8549894067398401,1.0
TCGA-CS-6665-01A,0.73,0.7386322275461119,0.4581607920526507,0.3799908266914417,0.37130533972000923,0.1432349637918311,0.738632227546112,0.5390821921627602,0.0,0.48259825703249176,0.48259825703249176,0.2199170652777743,0.8964063036857124
TCGA-CS-6666-01A,0.42,0.9404653592498953,0.7180290161906103,0.6912207777963826,0.9174981737128151,0.14106913495150858,0.9404653592498953,0.8611713398394106,0.37990663993505824,0.4333003597596305,0.4333003597596305,0.8766145128074715,0.9630287181794142
TCGA-CS-6667-01A,0.73,0.8206331250690309,0.6182950395494449,0.5677770417890763,0.788582635678554,0.13112902588043704,0.8206331250690309,0.7448166276866798,0.0,0.5247564011895467,0.5247564011895467,0.6293298803068974,0.9073564435787422
TCGA-CS-6668-01A,0.98,0.9390364546596646,0.7906582579540175,0.7891183174797078,0.2261783781674369,0.40812746707559,0.9390364546596646,0.9544047651312111,0.25011174082689674,0.6838366750197451,0.6838366750197451,0.5784564366378082,0.985320568226285
TCGA-CS-6669-01A,0.28,0.0786859097330733,0.5686125289371077,0.42497618855466923,0.0,0.2571107303962719,0.07868590973307389,0.8782580337700794,0.0,0.5876826422022463,0.5876826422022463,1.0741107013356901e-06,0.6434929169456997
TCGA-CS-6670-01A,0.82,0.9458004431377779,0.8251370246168975,0.7620108103751498,0.929574542695199,0.21717605060347123,0.9458004431377779,0.8455494511386482,0.0,0.708343041983788,0.708343041983788,0.7744837823237363,0.983043916199424
TCGA-DB-5270-01A,0.58,0.8919636634950217,0.6594807530081425,0.5923367575392161,0.641488839594934,0.19110842068515058,0.8919636634950217,0.8293123264887362,0.0,0.6268564965570103,0.6268564965570103,0.5931826201998015,0.984825767530764
TCGA-DB-5273-01A,0.73,0.989526957491098,0.6490904242202923,0.589169317823782,0.6206571563108801,0.04929408952249996,0.989526957491098,0.8107631580299387,0.705659377935919,0.6920147617516014,0.6920147617516014,0.9409130644528282,1.0
TCGA-DB-5274-01A,0.83,0.6732933120546039,0.5074904012666933,0.39799643804889295,0.07525631641175833,0.1346396250265591,0.6732933120546037,0.7564801065792267,0.0,0.4690610330498659,0.4690610330498659,0.37118425807074473,0.8522093525975579
TCGA-DB-5275-01A,0.9,0.9777572274387137,0.8429122281614864,0.8347588974581922,0.9376441945030585,0.2773883608279876,0.9777572274387137,0.9437933246622378,0.440032644343889,0.6952196944049494,0.6952196944049494,0.9173347794290869,0.9999566683525619
TCGA-DB-5276-01A,0.36,0.8562563944699985,0.4021471739265971,0.36752084126680273,0.2960555540813085,0.03135871107854612,0.8562563944699985,0.6295043523826839,0.0,0.6206537875107158,0.6206537875107158,0.4395953466801916,0.9738503399663003
TCGA-DB-5277-01A,0.88,0.7913121732285466,0.6912198961616581,0.5863992713450787,0.22914572625581697,0.16662145740554707,0.7913121732285467,0.8679089151463598,0.0,0.7321435700803898,0.7321435700803898,0.40936123467070695,0.9203393505135993
TCGA-DB-5278-01A,0.78,0.9347101301579478,0.7282547327059841,0.7255077183825568,0.9217914333733533,0.22744760980462966,0.9347101301579478,0.8745371294052943,0.39982510918538183,0.6622137072509652,0.6622137072509652,0.7366465334089843,0.9834010529975319
TCGA-DB-5280-01A,0.86,0.9621978808848668,0.7383395073590289,0.688196948916031,0.916911355509756,0.17144118859008728,0.9621978808848668,0.7325766184614514,0.0,0.6268462713474274,0.6268462713474274,0.8010869059686158,0.9965275119860536
TCGA-DB-5281-01A,0.42,0.9245152059869032,0.754339623370039,0.7140582166888142,0.7119527914920608,0.21374620144548157,0.9245152059869032,0.9098697044601287,0.0,0.6089609431931723,0.6089609431931723,0.8080780599369461,0.9902470193565088
TCGA-DB-A4X9-01A,0.85,0.9303038076456349,0.6932158614090558,0.650972516983348,0.0,0.2078769270364573,0.9303038076456349,0.8718416308948148,0.0,0.7478604098997529,0.7478604098997529,0.6863628897794192,0.9923364535044336
TCGA-DB-A4XA-01A,0.76,0.9629066597599389,0.6912731087485583,0.6712719264700592,0.9118806232889488,0.14344818222063574,0.9629066597599389,0.7353533382113875,0.41852346240822313,0.5845616611416173,0.5845616611416173,0.824414088209729,0.999062290476736
TCGA-DB-A4XB-01A,0.91,0.9349130990554354,0.82455563591592,0.8125692252534255,0.4423733662098645,0.24892583193106235,0.9349130990554356,0.9207493868996255,0.10056869266316384,0.7582315084744129,0.7582315084744129,0.7457079380802677,0.9853917841311345
TCGA-DB-A4XC-01A,0.67,0.9494011177070399,0.8015633763261094,0.7714537339682516,0.7508673312420441,0.19833514528967117,0.9494011177070397,0.8072693681984306,0.0,0.686330633184781,0.686330633184781,0.8548133664376226,0.9970949938643232
TCGA-DB-A4XD-01A,0.83,0.9188036185661698,0.6815067581543987,0.648252899300216,0.40609047529339287,0.18962740035414358,0.9188036185661699,0.8631815600452841,0.0,0.5512133544106712,0.5512133544106712,0.585677726662147,0.9933316400673382
TCGA-DB-A4XE-01A,0.93,0.9521424769104225,0.8246425675164114,0.7757347625373515,0.9393250197199132,0.26741417267870893,0.9521424769104225,0.891927482481984,0.1908797200731299,0.7260984840987061,0.7260984840987061,0.7453018849508625,0.9981732419888791
TCGA-DB-A4XF-01A,0.84,0.9765779299481584,0.8088892813700438,0.7971819904529226,0.9699084341902451,0.23739907939016158,0.9765779299481584,0.9689682079129494,0.556698825730897,0.6704884120594025,0.6704884120594025,0.84681888913004,0.9999563828295248
TCGA-DB-A4XG-01A,0.93,0.8852887009517071,0.8603483529994969,0.795442929208991,0.17832772658133053,0.3408105902418458,0.8852887009517073,0.9372727908215812,0.0,0.7265762872231007,0.7265762872231007,0.2916826295789615,0.9771165945865916
TCGA-DB-A4XH-01A,0.85,0.4163636474876186,0.46286637516782203,0.3902843734085448,0.11074553008953848,0.09368370587498229,0.4163636474876187,0.8012866615716676,0.0,0.5631864891767582,0.5631864891767582,6.97456658452075e-08,0.6387654248773975
TCGA-DB-A64L-01A,0.75,0.9389231200944768,0.7948440811433639,0.7580821091563023,0.9146565832092162,0.23635155908054076,0.9389231200944768,0.850071551399975,0.0,0.5234047791407062,0.5234047791407062,0.8409350739172485,0.9615249508466407
TCGA-DB-A64O-01A,0.52,0.9676970985561251,0.6242162988739729,0.4966503419944747,0.95409961616495,0.024863313932862566,0.9676970985561251,0.7915557169644876,0.9416723074167114,0.6137161075864307,0.6137161075864307,0.6219182716625755,0.9994780675858393
TCGA-DB-A64P-01A,0.86,0.8915044067846594,0.6818022545779628,0.6691478801095582,0.8659112772836428,0.16622573823398035,0.8915044067846595,0.7996505445717854,0.16953439001957138,0.49636153493998436,0.49636153493998436,0.7412341769502063,0.9465916838363905
TCGA-DB-A64Q-01A,0.9,0.9229121190149912,0.7518323707977754,0.7953714067728976,0.6607097640544806,0.19568498893003475,0.9229121190149912,0.9121089971848072,0.0,0.6760645820991861,0.6760645820991861,0.6864415124627773,0.9833554920799452
TCGA-DB-A64R-01A,0.96,0.9281493737913228,0.8542500955472414,0.7481975020003604,0.9115606003182889,0.3446582741737627,0.9281493737913229,0.9429499675098612,0.0,0.6385506419992494,0.6385506419992494,0.7542310601495559,0.9495332934124291
TCGA-DB-A64S-01A,0.75,0.9048188900351929,0.5293647333244944,0.4949698112120654,0.227340761020408,0.06531489600781115,0.9048188900351929,0.6279636227460627,0.0,0.37724454614106817,0.37724454614106817,0.6856590770038022,0.9905534554202103
TCGA-DB-A64U-01A,0.78,0.6873211656277833,0.4383362047436918,0.4228264014444188,0.25221417561326376,0.08440583902274253,0.6873211656277833,0.6969803740066668,0.0,0.4432815029167136,0.4432815029167136,0.001115416412102169,0.8790500292825741
TCGA-DB-A64V-01A,0.53,0.9416061145424115,0.44942969412702627,0.41141164892836724,0.7240082686988607,0.008663193152211443,0.9416061145424115,0.5489584244652522,0.445584561693389,0.5661161205838092,0.5661161205838092,0.6106801497254544,0.993630785989671
TCGA-DB-A64W-01A,0.88,0.8645080077299252,0.8115099921199733,0.737322731931686,0.7908185341966778,0.3265325902825654,0.8645080077299252,0.9260934705083522,0.09642218564766254,0.5875931043781977,0.5875931043781977,0.45125766672960343,0.9165299548759064
TCGA-DB-A64X-01A,0.94,0.9665558301206006,0.718873457481133,0.6904921368706597,0.8902424875189099,0.14102293959188936,0.9665558301206006,0.92460192354141,0.003490569697951598,0.6089541070060113,0.6089541070060113,0.8842690737470904,0.9962449667449988
TCGA-DB-A75K-01A,0.83,0.9780993619829854,0.756734784270995,0.7311572481626438,0.8023415110773031,0.207115854168861,0.9780993619829854,0.8427535246606127,0.19226072624397755,0.3747889213828378,0.3747889213828378,0.8502222795845749,0.9999855277498332
TCGA-DB-A75L-01A,0.83,0.9074906023923963,0.7621270948491485,0.6483749247426575,0.3750262173346561,0.17047483658584497,0.9074906023923965,0.8603294340557354,0.0,0.5932246453093087,0.5932246453093087,0.6327970536264913,0.991644220877416
TCGA-DB-A75M-01A,0.87,0.978609888980081,0.6501036972540216,0.6994052569053617,0.804896931639303,0.059348495652968555,0.978609888980081,0.8505533728443303,0.8822223566677319,0.5753911125805731,0.5753911125805731,0.8782903976684963,1.0
TCGA-DB-A75O-01A,0.74,0.9882537115557726,0.7280929190591372,0.7364559157057576,0.6341890816702372,0.03810107990845825,0.9882537115557726,0.7283979838680615,0.871549269614488,0.6850664928294976,0.6850664928294976,0.8836461433125525,1.0
TCGA-DB-A75P-01A,0.82,0.9609395816391291,0.7570991950674435,0.7390467782653537,0.9487074494955975,0.12024115973186242,0.9609395816391293,0.9576063856681262,0.8977088325274054,0.6231286834922685,0.6231286834922685,0.7135463296273399,0.9936103463732918
TCGA-DH-5140-01A,0.88,0.987725547725256,0.9184986343219967,0.863222365129365,0.9810455991995038,0.4460816848629409,0.987725547725256,0.9654968773185723,0.3208434326846534,0.6247903018031035,0.6247903018031035,0.9003237116480163,0.9998827585392481
TCGA-DH-5142-01A,0.86,0.916609185136389,0.7152425353393103,0.6441494309443145,0.2934609733187551,0.15854537510783745,0.916609185136389,0.8262544593405706,0.0,0.6959006645369642,0.6959006645369642,0.8116083490547913,0.9784795134516104
TCGA-DH-5143-01A,0.44,0.9734265076622448,0.760966462570539,0.7236148378125717,0.7911034586080068,0.1392509323177549,0.9734265076622446,0.8336570553398933,0.15247180076574057,0.7331260117430531,0.7331260117430531,0.472604540009734,1.0
TCGA-DH-5144-01A,0.93,0.9724733671794435,0.862632194658048,0.8142404730658773,0.9069337525965991,0.2886200601437887,0.9724733671794435,0.941655641003175,0.13003958992108278,0.6718056481690086,0.6718056481690086,0.9008133568525446,0.9942413419629456
TCGA-DH-A669-01A,0.92,0.9774059637626763,0.8528854367401885,0.8511694970283086,0.9683741739905951,0.26361542605495336,0.9774059637626763,0.9452358817587215,0.7195398035550151,0.6138357344714754,0.6138357344714754,0.611840208715945,0.9967434983101622
TCGA-DH-A669-02A,0.86,0.9142885727632168,0.7662698659967037,0.7210383064814686,0.8903357037916304,0.20262486619328252,0.9142885727632168,0.9017087260658174,0.1992929294611607,0.5120898705577891,0.5120898705577891,0.8557426059635888,0.9581178173958385
TCGA-DH-A66B-01A,0.41,0.9567899965257505,0.6943713139357136,0.6110630550329704,0.7917472533822185,0.13385265495916784,0.9567899965257505,0.8730444874247758,0.1776183667032364,0.6357505213066953,0.6357505213066953,0.9224823332989303,0.9918524415818284
TCGA-DH-A66D-01A,0.81,0.966740020342112,0.7881608537253921,0.7403300144580728,0.9147351141035504,0.21471576236696968,0.9667400203421121,0.8832973293785416,0.5536574827084298,0.6387505110752489,0.6387505110752489,0.9157268079421296,0.9981884641711142
TCGA-DH-A66F-01A,0.93,0.9725986508577297,0.7062795261267719,0.6957683440703505,0.9384461439884932,0.12001170681245228,0.9725986508577297,0.9424617152489894,0.9217278928893156,0.6223299303064144,0.6223299303064144,0.8044666274115772,0.9995411445354754
TCGA-DH-A66G-01A,0.35,0.9732354887428508,0.7593865736191426,0.7247035740865823,0.9223018404609299,0.2417350677772534,0.9732354887428508,0.9031904736995562,0.5521638307998644,0.5983625585510217,0.5983625585510217,0.9007884307433651,1.0
TCGA-DH-A7UR-01A,0.74,0.7555918196948623,0.7196487825584429,0.5287832963529664,0.7245297189581461,0.18144119213082585,0.7555918196948623,0.8503387297320866,0.0,0.4422254334566353,0.4422254334566353,0.4520590213888516,0.8206109387013223
TCGA-DH-A7US-01A,0.74,0.8822409254669721,0.5856655426854995,0.5461968815955004,0.8022119555887631,0.08792496161596956,0.8822409254669721,0.7144206937369594,0.0,0.4201969090102637,0.4201969090102637,0.5314572186092448,0.9609390300397168
TCGA-DH-A7UT-01A,0.7,0.9010471788441993,0.5512502293698774,0.49165583485589065,0.878487362731969,0.03217507234889302,0.9010471788441993,0.6668998085708162,0.0,0.4744690681442394,0.4744690681442394,0.5715839669642524,0.9802114699838514
TCGA-DH-A7UU-01A,0.87,0.90223647979031,0.7083398727729268,0.653082423992162,0.2169205908436211,0.22290883381733484,0.90223647979031,0.8757757345149022,0.0,0.47927148832227146,0.47927148832227146,0.4969476640830508,0.9909917332640648
TCGA-DH-A7UV-01A,0.71,0.9305410328887106,0.646893280130347,0.551261655061836,0.916463282844967,0.12793849183813424,0.9305410328887106,0.8356574669791451,0.0,0.5373066890134085,0.5373066890134085,0.6964213392111153,0.9964131876054854
TCGA-DU-5847-01A,0.74,0.9436371080261811,0.6523819235910823,0.5852256163472016,0.8701529840240464,0.05170478665060404,0.9436371080261811,0.6845721681548824,0.34987041683641745,0.510519131361288,0.510519131361288,0.7851929923403805,0.9910101064288782
TCGA-DU-5849-01A,0.69,0.9028314975715361,0.6421925355809817,0.5418641144664053,0.8254281414172271,0.1342200814386423,0.9028314975715362,0.8087094288515411,0.0,0.581474092849232,0.581474092849232,0.5682883555849477,0.9791044216377639
TCGA-DU-5851-01A,0.44,0.8510171164581124,0.5716491284181524,0.5184931230502566,0.7573767175936235,0.08257658998157986,0.8510171164581124,0.7640044127697863,0.0,0.6626915768142745,0.6626915768142745,0.3991243482354955,0.9589698995745675
TCGA-DU-5852-01A,0.8,0.9671997411862857,0.7710543882581609,0.7309187832237015,0.9109860782143685,0.23559286349575284,0.9671997411862857,0.7922493687259615,0.44815045406882503,0.5429445256872935,0.5429445256872935,0.9123978770678715,0.9931351891423477
TCGA-DU-5853-01A,0.83,0.9012568323998728,0.6629333919762677,0.5345589150509702,0.382572615952204,0.13422558562780051,0.9012568323998728,0.761451846763536,0.0,0.6153094921315164,0.6153094921315164,0.6280534900272233,0.9869601008291962
TCGA-DU-5854-01A,0.53,0.8898137903578873,0.3943807514422498,0.42108019088355575,0.7964759499377091,0.0020397339190515347,0.8898137903578875,0.37312065841664893,0.0,0.26045086312746474,0.26045086312746474,0.5382599589996198,0.9670511259979084
TCGA-DU-5855-01A,0.55,0.9658573130941523,0.7525396766286848,0.6979323345913081,0.9505027670079136,0.19123013725121948,0.9658573130941523,0.8733498622769202,0.5340935165647155,0.6888195708307487,0.6888195708307487,0.8865499862531497,0.9964539372916473
TCGA-DU-5870-02A,0.93,0.9490121478397968,0.8483359137681745,0.797307943447413,0.93143425541582,0.30749027340096796,0.9490121478397968,0.922258335717118,0.3228909092006368,0.5346166805538745,0.5346166805538745,0.871129597636303,0.978495521616114
TCGA-DU-5871-01A,0.9,0.9606479083451844,0.7388050029638521,0.7118502757024008,0.9431360218227689,0.1438186589879208,0.9606479083451845,0.8983676138975236,0.6152844934489483,0.7499943850920378,0.7499943850920378,0.8346537528753403,0.9893565545953147
TCGA-DU-5872-01A,0.86,0.9741511928400222,0.60727577025163,0.6050693098061667,0.9186561550761309,0.10588578226928913,0.9741511928400222,0.7336352756494865,0.0784543157528288,0.4825338523945205,0.4825338523945205,0.8915247709108931,0.9999509170921917
TCGA-DU-5872-02A,1.0,0.8951449593859455,0.17092748231898994,0.15124132369896728,0.8131112416392386,0.0016148523117625905,0.8951449593859455,0.2763337494518132,0.0,0.29950881888869824,0.29950881888869824,0.6432325500545263,0.9802443753993157
TCGA-DU-6392-01A,0.83,0.8109268385131346,0.7770443071603438,0.7195918783663354,0.7455405043856723,0.26035165641004965,0.8109268385131347,0.8806382039088376,0.035905866114441735,0.5395777204026015,0.5395777204026015,0.5038566281354022,0.8605405890653239
