"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6","CDSeq_estimated_cell_type_7","CDSeq_estimated_cell_type_8"
"KIF1A",0.000179126555800811,2.71360111149102e-06,0.000287736354862923,0.00522482661406763,0.000282284609551428,0.000370774368248318,2.44384989236435e-05,2.34115278363066e-05
"CHGB",5.77827599357456e-06,5.15584211183293e-05,4.46795582085284e-05,0.00124563782040301,0.000732273359832671,0.000380342739041823,2.01883251977925e-05,0.000276256028468418
"ZFY",7.51175879164692e-05,0.00016010246557797,0.000241269614326054,0.000159069662723371,6.77066406673166e-05,0.000638688750466458,8.60660179484836e-05,4.68230556726132e-06
"GPRASP2",6.35610359293201e-05,1.35680055574551e-05,1.60846409550702e-05,2.44722558035955e-06,0.000834354141146471,7.89390590464162e-05,1.06254343146276e-06,2.34115278363066e-05
"S100A8",0.000313952995650884,0.00437703859283501,1.2510276298388e-05,2.44722558035955e-06,3.12492187695308e-06,6.45865028561587e-05,0.00031557539914444,4.68230556726132e-06
"PXDN",0.000121343795865066,0.000100403241125168,8.75719340887157e-05,6.60750906697078e-05,1.04164062565103e-06,0.000232032991742496,0.00232803265833491,0.000229432972795805
"MXRA5",7.51175879164692e-05,2.71360111149102e-06,9.82950280587626e-05,9.54417976340223e-05,7.29148437955718e-06,2.63130196821387e-05,0.00133986726707454,1.4046916701784e-05
"MPZL2",2.88913799678728e-05,0.000122112050017096,6.61257461486221e-05,6.11806395089887e-05,1.77078906360674e-05,1.67446488886337e-05,0.000942476023707469,0.000126422250316056
"COL4A2",0.000348622651612332,2.71360111149102e-06,0.000652321549844515,2.6919481383955e-05,7.29148437955718e-06,2.39209269837625e-06,0.00349045517235517,0.00024816219506485
"TUBB4A",3.27435639635892e-05,2.44224100034191e-05,8.04232047753512e-05,0.00377606907049478,5.20820312825513e-06,0.000184191137774971,2.6563585786569e-05,0.000191974528257714
"SLC4A10",0.000125195979860782,1.35680055574551e-05,4.46795582085284e-05,6.60750906697078e-05,0.00216140429822588,0.000184191137774971,3.29388463753456e-05,2.34115278363066e-05
