tumor_id,structure,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
292163427,CT,0.8789566871201732,0.033154671914238536,0.0,0.0,0.0,0.016698477170843832,0.023733975012203173,0.04745618878254131
292163427,IT,0.787387710141877,0.02189188032755997,0.0,0.0,3.846540460730434e-06,0.022455759397781373,0.03696829070696015,0.13129251288536084
292163427,LE,0.5699852234900554,0.010065635585930573,0.0,0.0,0.0005858823530463666,0.020087612143687605,0.07206841766048762,0.3272072287667924
292163427,MVP,0.07656523292262535,0.18315303624096105,0.011544622073587052,0.004008030020343019,0.0020096114862264976,0.7104113245826603,0.00025425447332503,0.012053888200271574
703393,CT,0.727181132781201,0.06668883891574437,0.0,0.0,0.00013348753554423342,0.04317990198682353,0.07453650116295792,0.08828013761772892
703393,IT,0.5744232237100237,0.0,0.0,0.0,0.0,0.024391207086435867,0.18939480010830603,0.21179076909523434
703393,LE,0.21115808393049673,0.0,9.11917772307268e-05,0.0015086750037472333,0.007235968724656534,0.028455703080282002,0.2776557114492401,0.4738946660343466
703393,MVP,0.1855763785494328,0.11333870086127416,0.0016594056468193813,0.0004056435588150269,0.004504161614952966,0.6671490241772462,0.0037254380948454065,0.023641247496614046
703393,PAN,0.9220447885643828,0.032754541088850724,0.0,0.0,0.0009313030803567999,0.00017199572184816662,0.002680289472017199,0.04141708207254432
703493,CT,0.7893011457040159,0.09439839897153253,0.0,0.0,2.289167085836907e-05,0.058510831543679566,0.009711439651124358,0.04805529245878931
703493,IT,0.5978088777136374,0.008250477309833361,0.0,1.85740430035593e-05,0.0,0.05929928595676931,0.08992614391645098,0.24469664106030528
703493,LE,0.2998965240729683,0.002968818353987053,0.0,0.001030600180642301,0.005185206758568104,0.03731987406023633,0.20096661968864865,0.4526323568849494
703493,MVP,0.0788389023162888,0.09441561840220714,0.003986040316125239,0.0017353591092552796,0.0007420087028013374,0.8144263842332776,0.0006165339360512773,0.00523915298399329
703493,PAN,0.8831367233943931,0.08526414400796423,0.0,0.00013742881806283342,0.00022117854162776663,0.005201936932376499,0.0,0.026038588305575566
705757,CT,0.8389636340609764,0.08222087714708894,0.0,0.0,0.0,0.04628522467641103,0.0,0.03253026411552354
705757,IT,0.6395760193309125,0.15869092076153202,0.0,0.0,6.60394186373667e-05,0.03649181893680977,0.06968602207315137,0.09548917947895708
705757,LE,0.35548673652868873,0.0007726019811114673,0.0006928602827973901,0.0020192392457571533,0.00665686397144209,0.02347369677583726,0.14265208916818695,0.468245912046179
705757,MVP,0.16960336131881704,0.2687918808660071,0.0,0.0038468438554318013,0.0,0.5554992013729071,0.0018860209798342007,0.0003726916070028001
705757,PAN,0.8006416370313673,0.18037529386968418,0.0016086353416158133,3.344982326495635e-05,0.0014743500750274113,0.007949563503368444,8.617398479657141e-05,0.007830896370875305
705758,CT,0.8626700575751339,0.03887764440861843,0.0,0.00016243155390276663,0.0007700160936682667,0.04702942749692696,0.00013405266462530004,0.050356370207124385
705758,IT,0.5962972737250413,0.034315288584758664,0.0,0.0,0.00029565442968210225,0.03925665872385576,0.07712143532719286,0.2527136892094693
705758,LE,0.20992301555841203,0.0,0.0,0.00592244913508665,0.0086640606265901,0.030300763133017557,0.32272498861459853,0.42246472293229503
705758,MVP,0.22850289204923377,0.09648961934514738,0.0,0.001169712222674633,0.0033321572630872335,0.6666131133044845,0.0,0.0038925058153725356
705758,PAN,0.8475162328523056,0.11106779428173646,0.0008976995078526865,0.00123979315563792,0.006665939193715442,0.010938350701419504,0.0,0.02167419030733238
705803,CT,0.899581536960309,0.043499876634981165,0.0,0.0,0.001391882492726533,0.03728321340322016,0.01744916986986883,0.0007943206388944332
705803,IT,0.7988508364510769,0.0226254877013771,0.0,0.0,0.0,0.04622518718597942,0.09364217909657079,0.03865630956499578
705803,LE,0.3990803942451207,0.0,0.0,0.0,0.0029333583109151977,0.031047333383436283,0.3325025403933558,0.23443637366717185
705803,MVP,0.34262186533277833,0.06474878775086965,0.000759557654277013,0.00027306556176686964,0.002581459513445477,0.5865610285574284,0.0,0.0024542356294341987
705803,PAN,0.9782366955999627,0.0028172914576820676,0.0,0.003674977534845201,0.007831990045401669,0.007439045362108469,0.0,0.0
705859,CT,0.6815541037170852,0.08194078802340209,0.0,0.0,7.806002246445376e-06,0.08531341476645626,0.0373430892857046,0.11384079820510529
705859,IT,0.5155430795072976,0.3487297237001506,0.0,0.0,0.0,0.04132393469358836,0.04098103060796231,0.05342223149100106
705859,LE,0.28145735617508844,0.110126339618083,0.0,0.0,0.0028633742790594987,0.06305324877322349,0.215879160771848,0.32662052038269745
705859,MVP,0.14768271090414342,0.3137131639905222,0.038261159999254606,0.00035426967212978384,0.0038941053869234236,0.4548058809608777,0.014065788763491452,0.027222920322657506
705859,PAN,0.6525346539478086,0.3209727463881448,0.0,0.0,9.45301077937667e-05,0.005265075518606765,5.2862635507600025e-05,0.021080131402138436
710262,CT,0.7656631972572518,0.050413408519787185,0.0,0.0,0.0,0.030940216375247964,0.1071657348159444,0.045817443031768545
710262,PAN,0.8310749103698202,0.11310695370447377,0.0001357758601106013,0.00016458522437786522,0.003951129614158496,0.006938139354209771,0.024069175354142536,0.02055933051870679
711547,CT,0.9711090070054235,0.0009818862434499331,0.0,0.004842581502960269,0.004476300702361802,0.013186931080435907,0.004925455742763366,0.0004778377226054002
711547,IT,0.6894160367217284,0.02006165091923101,0.0,0.0,0.002514792446504732,0.021323601402546504,0.03359748472350864,0.23308643378648067
711547,LE,0.2963533634287064,0.02180867956290504,0.0,0.0037500351721698687,0.0033940771469305343,0.028985237627279208,0.08451473950469718,0.5611938675573119
711547,MVP,0.20203022920442373,0.09927812245420066,0.0,8.864393667322832e-05,0.0008155104579619998,0.6870956897083751,0.0023008496795782897,0.008390954558786967
711560,CT,0.902943376899697,0.03185752538462525,0.0,0.0,1.4264361467282868e-05,0.02393654862534593,0.03545203087164831,0.005796253857216299
