method,tumor_id,n_constraints_evaluable,n_satisfied,weight_evaluated,weight_satisfied,acs,constraints_satisfied,constraints_violated
dwls,705859,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
dwls,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
dwls,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
bisque,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
bisque,703393,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
bisque,703493,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
bisque,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
bisque,705758,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
bisque,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
bisque,705859,7,5,8.0,6.0,0.75,"C1,C2,C3,C5,C7","C4,C6"
bisque,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
bisque,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
scdc,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
scdc,703393,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
scdc,703493,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
scdc,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
scdc,705758,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
scdc,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
scdc,705859,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
scdc,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
scdc,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
scdc_ensemble,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
scdc_ensemble,703393,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
scdc_ensemble,703493,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
scdc_ensemble,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
scdc_ensemble,705758,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
scdc_ensemble,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
scdc_ensemble,705859,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
scdc_ensemble,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
scdc_ensemble,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
control_random,292163427,6,5,7.0,5.0,0.7142857142857143,"C1,C2,C3,C4,C6",C7
control_random,703393,7,2,8.0,2.0,0.25,"C3,C6","C1,C2,C4,C5,C7"
control_random,703493,7,3,8.0,3.0,0.375,"C1,C5,C6","C2,C3,C4,C7"
control_random,705757,7,3,8.0,3.0,0.375,"C1,C2,C5","C3,C4,C6,C7"
control_random,705758,7,2,8.0,2.0,0.25,"C3,C4","C1,C2,C5,C6,C7"
control_random,705803,7,1,8.0,1.0,0.125,C3,"C1,C2,C4,C5,C6,C7"
