sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
305273026,0.9347951201893372,0.0026355480070398155,0.0,0.0008089170912684544,0.0,0.0322921113072216,0.029468303405132953,0.0
305405294,0.9403580210370648,0.016022721634326883,0.0,0.0,0.0,0.0292888142512216,0.0,0.014330443077386687
305952560,0.6591150537388657,0.11194600412178662,0.0,0.0,0.03582665339492194,0.045911711686493134,0.012438356079728414,0.1347622209782043
306124462,0.8098774828936345,0.11553346988165265,0.005050733958515316,0.0,0.036236271643028416,0.0333020416231691,0.0,0.0
300173630,0.09886779701010243,0.08341923233673572,0.17093499718407415,0.034763103501596726,0.27290502932324034,0.0,0.2633175726005541,0.07579226804369642
300173636,0.3616043046390159,0.13866962454375706,0.03158233702666662,0.09351631555272186,0.10935878442344675,0.03165488101642922,0.13695400177644995,0.09665975102151272
300629315,0.8814387515849541,0.05325566202768256,0.0,0.013797463530722278,0.0,0.0072678686912582904,0.0,0.04424025416538278
300629344,0.8151797588089412,0.020676294864337162,0.0,0.001350489024532027,0.0,0.007851688834540765,0.05505632431514605,0.09988544415250276
300629350,0.5427496122507549,0.22487814774730364,0.0,0.058822443071302556,0.0,0.03267419121472306,0.04408445259181277,0.09679115312410315
300629358,0.8486779848715218,0.08357886650942122,0.0,0.006364348375682671,0.0,0.02472137173415258,0.0,0.036657428509221705
300629403,0.6385599397616899,0.010278100504968597,0.0,0.0,0.0,0.07866430661393226,5.9643373926217814e-05,0.272438009745483
300629424,0.7066862708434701,0.12875231638366705,0.0,0.004755500672304749,0.0,0.06178514551907792,0.0,0.09802076658148011
300629432,0.9061603573720135,0.0,0.000887052478745132,0.0,0.0002541800966089346,0.06120836631002273,0.0,0.0314900437426099
301287570,0.5352250565096468,0.13111660925244292,0.0,0.08602918378905869,0.02947480322487304,0.09295347814529317,0.11574361576346687,0.009457253315218376
