Cohort,Samples,Marker genes,R² of best additive fit (median),Variance unexplained (%),Samples below R² = 0.5 (%),Floor: gene labels shuffled,Floor: random basis,Ceiling: top-8 SVD,Reference as % of achievable
GBM,175,1597,0.3621,63.8,82.9,-0.0077,+0.0016,0.9803,38.9
LGG,534,1597,0.2360,76.4,89.1,-0.0071,+0.0016,0.9904,25.0
