method,acs,truth,yardstick,acs_rank,truth_rank,rank_gap
music,1.0,0.047306151536365,synthetic_mixtures,1.0,1.0,0.0
elastic_net,0.9846153846153847,0.054849168791502,synthetic_mixtures,3.5,2.0,1.5
nnls,0.9846153846153847,0.0563498554877412,synthetic_mixtures,3.5,3.0,0.5
bayesprism,0.8153846153846154,0.0591271007224554,synthetic_mixtures,11.0,4.0,7.0
svr,0.9846153846153847,0.0594934511797593,synthetic_mixtures,3.5,5.0,1.5
cibersortx,0.9692307692307692,0.0613573458172049,synthetic_mixtures,6.0,6.0,0.0
epic,0.9846153846153847,0.0647229798642884,synthetic_mixtures,3.5,7.0,3.5
dwls,0.8769230769230769,0.0741225112232134,synthetic_mixtures,10.0,8.0,2.0
bisque,0.9230769230769231,0.075511291291014,synthetic_mixtures,9.0,9.0,0.0
scdc,0.9538461538461539,0.0807812052263818,synthetic_mixtures,7.5,10.5,3.0
scdc_ensemble,0.9538461538461539,0.0807812052263818,synthetic_mixtures,7.5,10.5,3.0
bayesian,0.7692307692307693,0.0964315599537171,synthetic_mixtures,12.5,12.0,0.5
bayesian_hierarchical,0.7692307692307693,0.0973687705178603,synthetic_mixtures,12.5,13.0,0.5
