sample,AC,MES,NPC,OPC,MES_minus_mean_other
TCGA-FG-6692-01A,0.9735881173983473,0.9512862327985888,0.9077067943302989,0.9357889117669487,0.01225829163339065
TCGA-DU-7302-01A,0.9571537569756082,0.901479509752923,0.9497143153625055,0.9656839841765454,-0.05603784241863008
TCGA-DU-7010-01A,0.952411981794559,0.9110784257777719,0.9434594424371797,0.9693817087941614,-0.044005951897528206
TCGA-EZ-7264-01A,0.9500329019327561,0.8880724871801062,0.9394455141842692,0.9757693060930467,-0.06701008688991772
TCGA-HT-A5R7-01A,0.9622566563311201,0.9111959429947301,0.9429479104816073,0.9628236896403203,-0.044813475822952475
TCGA-HT-8109-01A,0.9605779049572541,0.9036022273582277,0.9435483870967741,0.9700623221266642,-0.05446064403533635
TCGA-HT-8018-01A,0.9638211587325626,0.9389618318711814,0.9394825744591001,0.9536379158552835,-0.013352051144467247
TCGA-HT-7603-01A,0.956592918512142,0.9019701555653591,0.9412658748188055,0.9616484590964277,-0.05119892857709929
TCGA-DU-7013-01A,0.9701838965630545,0.9312114570964303,0.9360143337123498,0.9553056154359241,-0.022623158140679167
TCGA-QH-A65S-01A,0.9640129021630254,0.9155365808690383,0.9345773966779573,0.9709650925200914,-0.040981882917986434
TCGA-QH-A6X5-01A,0.961476176432297,0.9091046852513971,0.9424707344024322,0.9743495416690385,-0.05032746558319223
TCGA-HT-7483-01A,0.9582876116030903,0.9137521482330166,0.9448125431201306,0.9693552146402395,-0.043732974888136766
TCGA-DU-6403-01A,0.9615144808358421,0.9183501350945005,0.9553455740416213,0.9743260907625267,-0.04537858011882956
TCGA-DU-7011-01A,0.9631084311313395,0.9176025975603244,0.9427423762006529,0.9698475046624342,-0.040963506437817876
TCGA-HT-7478-01A,0.9623702410653319,0.9285727611735554,0.931805788935124,0.9572438060069408,-0.021900517495576866
TCGA-HT-7857-01A,0.9656411714327972,0.9417439262346715,0.8925054708978682,0.9549364874265548,0.00404954964893145
TCGA-DU-6399-01A,0.9575381294874825,0.9054776558159408,0.9408592134247138,0.9713308192529433,-0.05109839823910567
TCGA-TQ-A7RS-01A,0.9544514145174133,0.8978462615075421,0.9397096437646189,0.9766323352555916,-0.05908486967166582
TCGA-HT-7471-01A,0.9581248732412079,0.9150441059948597,0.9483890599671305,0.9720642418787363,-0.04448195236749852
TCGA-VM-A8CH-01A,0.9555389938828089,0.912065021681698,0.9231368898376319,0.9641933299893413,-0.03555804955489594
TCGA-S9-A7R4-01A,0.9522457008288808,0.9231409965167348,0.9401940315729505,0.9704688641777202,-0.03116186900978224
TCGA-VV-A86M-01A,0.9311727435606535,0.9058802323054738,0.9300736718198476,0.9678944558834747,-0.037166724782518146
TCGA-TM-A7CA-01A,0.951432673257681,0.8835290063585503,0.9495971247637156,0.9717429107551587,-0.07406189656696816
TCGA-P5-A72U-01A,0.9713071233791479,0.9399894902112275,0.8854728330156169,0.9360688905286623,0.00903987457008526
TCGA-DU-7008-01A,0.9528590141110767,0.8916525097287795,0.9540687974922413,0.9699844507958809,-0.06731824440428669
TCGA-HW-8322-01A,0.9556565640462913,0.8912623708590957,0.9477229766492223,0.9743529429455557,-0.06798179035459417
TCGA-TQ-A7RG-01A,0.9594881114644856,0.9049530809081804,0.9448119421427007,0.9741502984709651,-0.054530369784536736
TCGA-HT-7605-01A,0.9637403430834647,0.9057115013597243,0.9409228168693564,0.9670733161264543,-0.051533990666700835
TCGA-S9-A6U5-01A,0.9649446069613936,0.9209029565685631,0.9368857509854028,0.9771609652321515,-0.038760817824419536
TCGA-DB-A4X9-01A,0.9629558777553711,0.887749017610938,0.9428710855335117,0.9675093955788416,-0.07002976867830335
TCGA-QH-A6CS-01A,0.9696230580995878,0.9295915485641497,0.8996146332395005,0.9525095871244139,-0.010990877590351
TCGA-HT-7472-01A,0.9575923756081101,0.90763841790549,0.9369823080257731,0.976193033541241,-0.049284154486218146
TCGA-VW-A8FI-01A,0.9732112729195395,0.9375790611938212,0.9345335253255898,0.9564491604038428,-0.017152258355836114
TCGA-HT-7482-01A,0.9620441001033555,0.918372906913195,0.9272690103183818,0.976570754249179,-0.03692171464377714
TCGA-E1-5303-01A,0.9610796262198736,0.9256698572819704,0.9268093627475726,0.9671452799769716,-0.026008232366169004
TCGA-QH-A65R-01A,0.9547330515192014,0.9173065639172941,0.9416683293708885,0.9610455380801548,-0.03517574240612076
TCGA-VM-A8C9-01A,0.9653354004426483,0.9425794416386636,0.9058986535701665,0.9651193722747275,-0.002871700457183879
TCGA-HW-7495-01A,0.9621397504058496,0.9080397140518035,0.9456054326757038,0.9742007805750591,-0.05260894050040077
TCGA-HW-7486-01A,0.9626403646047826,0.9033920681640097,0.9366219218937679,0.9739888273436853,-0.05435830311673551
TCGA-P5-A730-01A,0.9524285877498532,0.9188312697858754,0.9162811396455195,0.9652289291814847,-0.02581494907307713
TCGA-HT-7695-01A,0.9609359293533949,0.8930650026594558,0.9499756403815164,0.9714274871118473,-0.06771468295613037
TCGA-HT-7610-01A,0.9527332516763157,0.8880172495154817,0.9524906307618709,0.9720569022820417,-0.07107634539126106
TCGA-HT-7476-01A,0.9631301295795902,0.9283518105150563,0.9463244020074248,0.9685210068208124,-0.030973368954219427
TCGA-DU-8167-01A,0.9551991253311227,0.9148440980933129,0.9389094423169843,0.9709735062041073,-0.04018325985742521
TCGA-FG-7638-01B,0.9615162521377401,0.9104910225991553,0.9464044321684788,0.9743683381971587,-0.0502719849019706
TCGA-P5-A781-01A,0.965472233514272,0.9005014189860998,0.9408668258054901,0.971578038351362,-0.0588042802376082
TCGA-TM-A84R-01A,0.9561715700731457,0.8948217250100782,0.9398785184223623,0.9577314416507434,-0.05643878503867228
TCGA-HT-7687-01A,0.9540145671868094,0.9019107110587269,0.9526222448189736,0.9766350204738945,-0.059179899767832334
TCGA-S9-A7QX-01A,0.9565462004245809,0.8968861869988828,0.9277784388529504,0.9707631641037154,-0.054809747461532776
TCGA-HT-7607-01A,0.9648733120599973,0.9151794565638076,0.937370539445354,0.9605777730517935,-0.03909441828857407
TCGA-FG-5963-02A,0.9387842492292624,0.9177984900729504,0.9253696211518412,0.9561758051806095,-0.022311401780954032
TCGA-DH-5141-01A,0.9600469572133171,0.9214599973222535,0.9308788814127298,0.9726777247536669,-0.03307452380431786
TCGA-E1-A7YO-01A,0.9566298944392632,0.9033552125698975,0.9493777680018782,0.959561507431431,-0.0518345107209599
TCGA-HT-7855-01A,0.9467145892395181,0.9018706546065652,0.9263047420324414,0.9668991349658743,-0.044768834139379265
