sample_id,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-02-0047-01A,nnls,0.9778686473295326,0.007846559226097994,0.0,0.0,0.0,0.0,0.0,0.014284793444369361
TCGA-02-0055-01A,nnls,0.7151892550118127,0.14411736397193997,0.0,0.0,0.012132961157063039,0.1153893740732232,0.0,0.013171045785961115
TCGA-02-2483-01A,nnls,0.6615077479885281,0.10213752370374056,0.0,0.0,0.11553814067206752,0.12043362790442505,0.0,0.00038295973123885223
TCGA-02-2485-01A,nnls,0.9897077621197423,0.0,0.0,0.0,0.0,0.0,0.0,0.010292237880257753
TCGA-02-2486-01A,nnls,0.8697023203756077,0.11653198242917055,0.0,0.0,0.0,0.002016843249258704,0.0,0.011748853945963025
TCGA-06-0125-01A,nnls,0.9645473957130701,0.015317135178399222,0.0,0.0,0.0,0.006566973957175602,0.0,0.013568495151355041
TCGA-06-0125-02A,nnls,0.9536645429300415,0.022282334018711002,0.0,0.0,0.0,0.0,0.0,0.024053123051247426
TCGA-06-0129-01A,nnls,0.8787941219084564,0.11214453250219836,0.0,0.0,0.0,0.0,0.00906134558934526,0.0
TCGA-06-0130-01A,nnls,0.5858558735267507,0.32615193434600237,0.0,0.0,0.0,0.07880891263281317,0.0,0.009183279494433694
TCGA-06-0132-01A,nnls,0.8392241089413992,0.10737618771863852,0.0,0.0,0.0,0.0,0.02364743495362656,0.0297522683863358
TCGA-06-0141-01A,nnls,0.8718739249603079,0.08867534869895205,0.0,0.0,0.0,0.0068582708071420004,0.0,0.03259245553359801
TCGA-06-0152-02A,nnls,0.9151698003598373,0.052487726905553804,0.0,0.0,0.0,0.018689887973645992,0.0,0.01365258476096285
TCGA-06-0157-01A,nnls,0.9815621780495938,0.0034639430753147554,0.0,0.0,0.0,0.0,0.0,0.014973878875091402
TCGA-06-0158-01A,nnls,0.9628538339381271,0.019196521786560734,0.0,0.0,0.0,0.0,0.0,0.017949644275312267
TCGA-06-0168-01A,nnls,0.8904036512493996,0.08253373946751788,0.0,0.0,0.0,0.0,0.0,0.027062609283082562
TCGA-06-0171-02A,nnls,0.6775655084943136,0.29178518532079817,0.0,0.0,0.0,0.006262547979361635,0.0,0.024386758205526608
TCGA-06-0174-01A,nnls,0.9855133645155059,0.005542133238203439,0.0,0.0,0.0,0.008944502246290603,0.0,0.0
TCGA-06-0184-01A,nnls,0.8033163936503535,0.10795153187709267,0.0,0.0,0.0,0.04416759292633031,0.007343685393057469,0.037220796153166084
