sample,absolute_purity,nnls,svr,cibersortx,cibersortx_smode,elastic_net,bayesian,bayesian_hierarchical,music,dwls,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-02-0047-01A,0.69,0.41636243757737645,0.2799024835448473,0.3460150815515633,0.24329867062507446,0.11569221173538091,0.06283056072992639,0.05705638443110322,0.4912207387659285,0.3863384216413897,0.2764352630340526,0.46225752656148483,0.46225752656148483,0.2602135031689473,0.9854252549517362
TCGA-02-0055-01A,0.65,0.049034918514596855,0.10625899520501605,0.05169817497628702,0.013934228414030761,0.02745603438636617,0.02398677956488869,0.024972452049949617,0.17029894505512283,0.14886148779250644,0.12146746269254097,0.20822937072949638,0.20822937072949638,0.03257323591097526,0.05225832082328717
TCGA-02-2483-01A,0.72,0.12448752355295194,0.2733119143550143,0.1200801490754151,0.04137836700146589,0.05725437534448416,0.12183178855113164,0.12634794372341063,0.40360567107789524,0.35039750698131433,0.24493460481596188,0.32604563293514266,0.32604563293514266,0.07021288021262981,0.19272820356173248
TCGA-02-2485-01A,0.93,0.47770178272587166,0.5462430193121226,0.4150960604784371,0.35090488866428043,0.4103307821341141,0.15655599533228484,0.17322699996063134,0.5795509525470833,0.4153270522017824,0.3753637787165964,0.5734661132086118,0.5734661132086118,0.35159616647507963,0.776289821702937
TCGA-02-2486-01A,0.71,0.24863382361436748,0.17357890204476237,0.15097625156697886,0.11036866701229042,0.13558357565210558,0.054964058791322955,0.050930766087599826,0.2993774723793085,0.29017611610416094,0.13224721829519295,0.215822802398029,0.215822802398029,0.1435284120505479,0.6735265385028845
TCGA-06-0125-01A,0.9,0.3183654105083388,0.4161522280574422,0.3692265228686293,0.1971141369729006,0.27761613138343944,0.1424601885895005,0.14882978089159798,0.5322707364300435,0.3340837806545443,0.476932542169349,0.4794368067861349,0.4794368067861349,0.20249690483513183,0.3939039006028334
TCGA-06-0125-02A,0.59,0.47303018391240553,0.31720700774296695,0.4775698620070643,0.2056978811650985,0.22021424707091553,0.10905618212515036,0.11312767448864422,0.5331542277521444,0.38619746274136224,0.3755771355736777,0.593007725682726,0.593007725682726,0.3459406306207301,0.45318930817129877
TCGA-06-0129-01A,0.86,0.22962868855210922,0.33069892739305784,0.1343034390367486,0.16907440866429008,0.1581897328870585,0.21538543904217552,0.23107696048440282,0.5987568241161224,0.49347741540559675,0.192179493813471,0.5263852736931544,0.5263852736931544,0.11675581705421612,0.6321488969030604
TCGA-06-0130-01A,0.4,0.017432332287632968,0.032536813125025,0.0175279546187328,0.007150789744617132,0.019229058878136186,0.026234537829695155,0.026611562108812915,0.06997096591410149,2.985342016692942e-22,0.0,0.09568325224076729,0.09568325224076729,0.013591182647307597,0.05122131496743259
TCGA-06-0132-01A,0.27,0.2012285061879395,0.10809503279134634,0.027831709439519382,0.11275559298136609,0.11097965497873802,0.010773669342132778,0.00534471512775558,0.23889736014787408,0.21758805189342245,0.068170972877067,0.16758421261407142,0.16758421261407142,0.09264639022133424,0.5703566836488535
TCGA-06-0141-01A,0.21,0.08389740269665977,0.11359600847231088,0.024460640241947353,0.03436188666145988,0.0793775583201286,0.008518358208021597,0.0001586701130602288,0.17782526876702684,0.20086079487197225,0.0966275551516674,0.20926910500319104,0.20926910500319104,0.047450989713646384,0.16358564393523825
TCGA-06-0152-02A,0.76,0.29837959135552766,0.43311750442479824,0.3602853534680871,0.20227244937546546,0.16832643447310328,0.09395934947027124,0.10216087524907623,0.5017670736682284,0.2955790999008911,0.31335740656171274,0.4154650012723147,0.4154650012723147,0.190240413252628,0.45803088547195814
TCGA-06-0157-01A,0.82,0.6324986447991126,0.4050909992026365,0.36889820288648056,0.607980088587307,0.20397424980756929,0.09851431695679028,0.105467385555045,0.4955907025247712,0.00014670240569646022,0.3463606410722616,0.48393826294592845,0.48393826294592845,0.4901302945046106,0.9512837645177454
TCGA-06-0158-01A,0.79,0.43298413913194644,0.25226721080073244,0.2918321946863586,0.2644372529328167,0.22301465893920625,0.055266975495542686,0.05032451053005132,0.39629608662663784,0.26544847054798854,0.3281555038839756,0.42571965956101343,0.42571965956101343,0.2900794712337766,0.8843848364217289
