	Tumor	Macrophage_Microglia	T_cell	NK_cell	B_cell	Endothelial	Oligodendrocyte	Astrocyte
A1BG	8.667733853070127	6.290623281709363	3.5757860958679064	1.9060004351676452	11.39174433216959	1.169012622591194	12.849290593340795	0.3003277783620351
A1BG-AS1	14.543293281955865	15.03008346482102	12.786216195488834	436.46873105730134	1.2945079043618348	0.15323323950002227	7.807431531306485	0.0
A1CF	0.07166972455659328	0.04273119889966089	0.4194056028736461	0.5809220289653408	0.0	0.0	0.03913493944061535	0.0
A2M	170.72819547996056	3375.3093474936913	102.4450727941332	62.61378710605209	96.40623494054539	9594.753520376342	7.6479499540860765	2.9551103624746946
A2M-AS1	2.6770740646349402	5.614714569372712	15.687639864046652	119.40776333568301	0.0	4.162561725571536	2.057666485186607	277.1826383821286
A2ML1	2.7405552069180703	0.22537720753635723	3.3667828954782197	0.0	0.0	0.0	0.46264159316845693	80.08285798565137
A4GALT	1.1679910738852803	0.011956712186949122	0.481290592921947	4.789505049923832	1.5649365181972859	64.94524052991687	0.07707780687770063	0.0
AAAS	71.83684347095227	15.810721257504074	10.269994171024491	6.762939455941415	4.0974235506111985	49.679283714810275	77.0347847308629	37.51840862685601
AACS	19.92402629884257	3.9896121518220324	6.102723670349056	0.432800593828679	4.750848521222701	8.877764092191157	5.208902410298281	8.976559437428445
AACSP1	0.08148271031858279	0.0570606762519885	0.01698185557305795	0.0	0.0	0.0	0.0015364338168709641	0.0
AADACL3	0.00418467568827027	0.00011175250451579894	0.0007140232848070846	0.0	0.0	0.0	0.0	0.0
AADAT	31.604983805190155	0.30382201705925027	0.8470768583329485	0.0	7.109547221282827	2.6497949394295977	7.152999035407596	79.5154367469413
AAGAB	41.92212793803403	23.672609096906978	42.37199959625368	3.8451525989659237	2.146497650219491	42.94508779152764	11.544883833174266	12.872148939857652
AAK1	14.68924428655578	27.37455045755502	21.646015340066555	35.47342839310947	1.4174299156306271	42.856435184157384	14.381509135179282	24.640023341080454
AAMDC	68.26048638640427	19.215377243325378	11.536505850738576	6.947645252938996	17.419738215433544	160.90451802641738	109.2423789493023	2.2544431650252723
AAMP	96.92703940407128	56.42037245627849	51.284255376216066	4.836893424089149	34.77660600362723	76.89609668893324	63.457014242752884	82.63871373752252
AANAT	0.877789972955043	2.030844685295601	0.4078255243090996	0.10745901208289342	0.0	0.0	0.007800849914031482	0.39799449291674405
AAR2	75.57541941489508	31.489860941984833	125.21710821360485	1.1306446323787922	1.3141154040492167	12.178694615606611	61.1596081940695	1.5293671920045173
