cell_type,n_cells,n_donors,top_donor_share,L_naive,L_donor_bal,L_median,naive_x,donor_bal_x,median_x
Tumor,127521,100,0.08004956046455093,47873.532061385966,167930.20944355414,5897.0,1.1854037411138365,1.7570516354874435,0.9141572685346665
Macrophage_Microglia,115856,101,0.08659888136997652,16330.616480803756,85786.34557326387,5742.0,0.4043648554323863,0.8975814374998385,0.8901290547610743
T_cell,54257,98,0.13848904288847522,5896.287317765449,94267.18508866262,3483.0,0.1459988587472291,0.9863163529758217,0.5399372166027206
NK_cell,2489,56,0.4407392527119325,5451.844515869827,29744.6964296716,3945.0,0.13499394355938293,0.31121837864674967,0.6115567957214277
B_cell,1250,41,0.3184,3624.5904,4376.290115141915,3468.0,0.08974902905964754,0.04578906755167382,0.5376119055923729
Endothelial,673,54,0.17533432392273401,17515.937592867755,58780.67449492658,2910.0,0.4337147700963013,0.6150214461030683,0.451110336007441
Oligodendrocyte,12481,80,0.20655396202227386,28662.375691050398,165655.0526056865,4153.0,0.7097134034274928,1.7332466985662551,0.6438011083982482
Astrocyte,173,14,0.3815028901734104,197731.57803468208,158059.5434345675,22008.0,4.896061398563724,1.653774983169149,3.4116963143820485
