Method,Reimplementation (ACS),Genuine R package (ACS),Difference,Runtime (s),Pipeline budget (s)
dwls,0.7385,0.7846,+0.0461,2593,2400
bayesprism,0.8769,0.8154,-0.0615,2045,2400
